"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2022-01-31","4671202.18","10.1124","0.0","0.0","0.0","0.0"
"2022-02-01","4702579.16","10.1804","0.0","0.0","0.0","0.0"
"2022-02-02","4739613.34","10.2605","0.0","0.0","0.0","0.0"
"2022-02-03","4553413.0","9.8574","0.0","0.0","0.0","0.0"
"2022-02-04","4603355.56","9.9655","0.0","0.0","0.0","0.0"
"2022-02-07","4554781.56","9.8604","9.8605","9.8604","9.8604","9.8605"
"2022-02-08","6994431.96","9.9675","9.9676","9.9675","9.9675","9.9676"
"2022-02-09","7318015.56","10.1642","10.1643","10.1642","10.1642","10.1643"
"2022-02-10","7312622.38","9.9457","9.9458","9.9457","9.9457","9.9458"
"2022-02-11","7127039.77","9.6332","9.6333","9.6332","9.6332","9.6333"
"2022-02-14","7316731.33","9.6457","9.6458","9.6457","9.6457","9.6458"
"2022-02-15","7563641.01","9.8653","9.8654","9.8653","9.8653","9.8654"
"2022-02-17","7606369.52","9.5822","9.5823","9.5822","9.5822","9.5823"
"2022-02-18","7989400.66","9.4757","9.4758","9.4757","9.4757","9.4758"
"2022-02-21","8613822.85","9.475","0.0","0.0","0.0","0.0"
"2022-02-22","8537068.63","9.3906","9.3907","9.3906","9.3906","9.3907"
"2022-02-23","8930321.24","9.1657","9.1658","9.1657","9.1657","9.1658"
"2022-02-24","9414756.5","9.4915","9.4916","9.4915","9.4915","9.4916"
"2022-02-25","10658706.33","9.6426","9.6427","9.6426","9.6426","9.6427"
"2022-02-28","11301025.91","9.677","9.6771","9.677","9.677","9.6771"
"2022-03-01","11100657.6","9.5241","9.5242","9.5241","9.5241","9.5242"
"2022-03-02","11327984.6","9.6865","9.6866","9.6865","9.6865","9.6866"
"2022-03-03","11205473.91","9.5506","9.5507","9.5506","9.5506","9.5507"
"2022-03-04","11033858.07","9.4147","9.4148","9.4147","9.4147","9.4148"
"2022-03-07","10804505.41","9.0755","9.0756","9.0755","9.0755","9.0756"
"2022-03-08","9962778.47","9.0335","9.0336","9.0335","9.0335","9.0336"
