"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2022-07-26","1517500.69","9.9336","9.9337","9.9336","9.9336","9.9337"
"2022-07-27","1618752.18","10.1828","10.1829","10.1828","10.1828","10.1829"
"2022-08-01","1724252.89","10.39","10.3901","10.39","10.39","10.3901"
"2022-08-02","1888887.61","10.3046","10.3047","10.3046","10.3046","10.3047"
"2022-08-03","1990814.74","10.4309","10.431","10.4309","10.4309","10.431"
"2022-08-04","2395762.56","10.4439","10.444","10.4439","10.4439","10.444"
"2022-08-05","2405846.56","10.4056","10.4057","10.4056","10.4056","10.4057"
"2022-08-08","2604890.62","10.4018","10.4019","10.4018","10.4018","10.4019"
"2022-08-09","2695549.92","10.3482","10.3483","10.3482","10.3482","10.3483"
"2022-08-10","4370607.41","10.5786","10.5787","10.5786","10.5786","10.5787"
"2022-08-11","4747627.25","10.5772","10.5773","10.5772","10.5772","10.5773"
"2022-08-15","4849652.58","10.7299","10.73","10.7299","10.7299","10.73"
"2022-08-16","4922801.09","10.7488","10.7489","10.7488","10.7488","10.7489"
"2022-08-17","4937903.61","10.6659","10.666","10.6659","10.6659","10.666"
"2022-08-18","4965573.85","10.6677","10.6678","10.6677","10.6677","10.6678"
"2022-08-19","4950277.6","10.5267","10.5268","10.5267","10.5267","10.5268"
"2022-08-22","4904659.45","10.3148","10.3149","10.3148","10.3148","10.3149"
"2022-08-23","4941540.59","10.3135","10.3136","10.3135","10.3135","10.3136"
"2022-08-24","5099298.71","10.3408","10.3409","10.3408","10.3408","10.3409"
"2022-08-25","5279592.44","10.4713","10.4714","10.4713","10.4713","10.4714"
"2022-08-26","5154083.14","10.1474","10.1475","10.1474","10.1474","10.1475"
"2022-08-29","5163557.56","10.0905","10.0906","10.0905","10.0905","10.0906"
"2022-08-30","5167827.66","9.987","9.9871","9.987","9.987","9.9871"
"2022-08-31","5208073.4","9.9099","9.91","9.9099","9.9099","9.91"
"2022-09-01","5287420.18","9.8817","9.8818","9.8817","9.8817","9.8818"
"2022-09-02","5361618.2","9.7934","9.7935","9.7934","9.7934","9.7935"
"2022-09-05","5378258.16","9.7904","0.0","0.0","0.0","0.0"
"2022-09-06","5354457.81","9.747","9.7471","9.747","9.747","9.7471"
"2022-09-07","5472682.51","9.899","9.8991","9.899","9.899","9.8991"
"2022-09-08","5581118.13","9.9468","9.9469","9.9468","9.9468","9.9469"
"2022-09-09","5728816.68","10.1356","10.1357","10.1356","10.1356","10.1357"
"2022-09-12","5946875.3","10.2547","10.2548","10.2547","10.2547","10.2548"
"2022-09-13","5730140.42","9.8354","9.8355","9.8354","9.8354","9.8355"
"2022-09-14","5818968.78","9.8789","9.879","9.8789","9.8789","9.879"
"2022-09-15","5793753.45","9.7797","9.7798","9.7797","9.7797","9.7798"
"2022-09-16","5870599.23","9.7055","9.7056","9.7055","9.7055","9.7056"
"2022-09-19","6002789.41","9.7591","9.7592","9.7591","9.7591","9.7592"
"2022-09-20","5935156.84","9.6379","9.638","9.6379","9.6379","9.638"
"2022-09-21","5902090.89","9.4839","9.484","9.4839","9.4839","9.484"
"2022-09-22","5837620.85","9.404","9.4041","9.404","9.404","9.4041"
"2022-09-23","5723986.66","9.1891","9.1892","9.1891","9.1891","9.1892"
"2022-09-26","5676407.82","9.0725","9.0726","9.0725","9.0725","9.0726"
"2022-09-27","5661858.73","9.0471","9.0472","9.0471","9.0471","9.0472"
"2022-09-28","5817876.44","9.2453","9.2454","9.2453","9.2453","9.2454"
"2022-09-29","5734059.9","9.0727","9.0728","9.0727","9.0727","9.0728"
"2022-09-30","5666838.04","8.9538","8.9539","8.9538","8.9538","8.9539"
"2022-10-03","5831051.45","9.1829","9.183","9.1829","9.1829","9.183"
"2022-10-04","6062946.42","9.4937","9.4938","9.4937","9.4937","9.4938"
"2022-10-05","6076315.94","9.4519","9.452","9.4519","9.4519","9.452"
"2022-10-06","6098507.92","9.3313","9.3314","9.3313","9.3313","9.3314"
"2022-10-07","5943059.73","9.0905","9.0906","9.0905","9.0905","9.0906"
"2022-10-10","5951252.32","9.0316","0.0","0.0","0.0","0.0"
"2022-10-11","5899762.92","8.9534","8.9535","8.9534","8.9534","8.9535"
"2022-10-12","5964480.91","8.923","8.9231","8.923","8.923","8.9231"
"2022-10-17","6140977.46","9.1759","9.176","9.1759","9.1759","9.176"
"2022-10-18","6890740.37","9.2752","9.2753","9.2752","9.2752","9.2753"
"2022-10-19","6933512.98","9.1919","9.192","9.1919","9.1919","9.192"
"2022-10-20","6907908.12","9.1316","9.1317","9.1316","9.1316","9.1317"
"2022-10-21","7078173.01","9.3405","9.3406","9.3405","9.3405","9.3406"
"2022-10-25","7412330.99","9.5917","9.5918","9.5917","9.5917","9.5918"
"2022-10-26","7422271.07","9.5591","9.5592","9.5591","9.5591","9.5592"
"2022-10-27","7393360.06","9.5077","9.5078","9.5077","9.5077","9.5078"
"2022-10-28","7545574.36","9.696","9.6961","9.696","9.696","9.6961"
"2022-10-31","7533126.54","9.6163","9.6164","9.6163","9.6163","9.6164"
"2022-11-01","7586329.05","9.6157","9.6158","9.6157","9.6157","9.6158"
"2022-11-02","7542307.94","9.3879","9.388","9.3879","9.3879","9.388"
"2022-11-03","7473684.35","9.2942","9.2943","9.2942","9.2942","9.2943"
"2022-11-04","7735378.13","9.4855","9.4856","9.4855","9.4855","9.4856"
"2022-11-07","7815777.39","9.552","9.5521","9.552","9.552","9.5521"
"2022-11-08","7925313.5","9.6205","9.6206","9.6205","9.6205","9.6206"
"2022-11-09","7964765.52","9.4296","9.4297","9.4296","9.4296","9.4297"
"2022-11-10","8410607.0","9.9512","9.9513","9.9512","9.9512","9.9513"
"2022-11-11","8779183.78","10.0566","0.0","0.0","0.0","0.0"
"2022-11-14","8691432.93","9.956","9.9561","9.956","9.956","9.9561"
"2022-11-15","8887307.32","10.0355","10.0356","10.0355","10.0355","10.0356"
"2022-11-16","8842180.51","9.9755","9.9756","9.9755","9.9755","9.9756"
"2022-11-17","8857447.04","9.9505","9.9506","9.9505","9.9505","9.9506"
"2022-11-18","9061547.42","9.9859","9.986","9.9859","9.9859","9.986"
"2022-11-21","9101003.08","9.9275","9.9276","9.9275","9.9275","9.9276"
"2022-11-22","9244006.12","10.0619","10.062","10.0619","10.0619","10.062"
"2022-11-23","9337423.09","10.1387","10.1388","10.1387","10.1387","10.1388"
"2022-11-24","9337325.17","10.1321","0.0","0.0","0.0","0.0"
"2022-11-25","9346450.23","10.142","10.1421","10.142","10.142","10.1421"
"2022-11-28","9307534.29","9.9935","9.9936","9.9935","9.9935","9.9936"
"2022-11-29","9314515.54","9.9859","9.986","9.9859","9.9859","9.986"
"2022-11-30","9614671.86","10.2399","10.24","10.2399","10.2399","10.24"
"2022-12-01","9662054.51","10.2653","10.2654","10.2653","10.2653","10.2654"
"2022-12-02","9794721.12","10.2498","10.2499","10.2498","10.2498","10.2499"
"2022-12-06","9676947.54","9.9719","9.972","9.9719","9.9719","9.972"
"2022-12-07","9876409.17","9.9595","9.9596","9.9595","9.9595","9.9596"
