"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2011-10-19","5231366.08","10.004","0.0","0.0","0.0","0.0"
"2011-10-20","5165194.96","9.8775","9.8776","9.8775","9.8776","9.8775"
"2011-10-21","6494847.47","9.8298","9.8299","9.8298","9.8299","9.8298"
"2011-10-25","7519914.42","10.0314","10.0315","10.0314","10.0315","10.0314"
"2011-10-26","9401742.07","9.9995","0.0","0.0","0.0","0.0"
"2011-10-27","9637367.83","10.2501","10.2502","10.2501","10.2502","10.2501"
"2011-10-28","11891701.33","10.459","10.4591","10.459","10.4591","10.459"
"2011-10-31","14580558.5","10.3493","10.3494","10.3493","10.3494","10.3493"
"2011-11-01","15855825.6","10.2827","10.2828","10.2827","10.2828","10.2827"
"2011-11-02","16276687.82","10.4005","10.4006","10.4005","10.4006","10.4005"
"2011-11-03","16537910.0","10.3997","10.3998","10.3997","10.3998","10.3997"
"2011-11-04","17037301.17","10.5313","10.5314","10.5313","10.5314","10.5313"
"2011-11-07","17181449.01","10.5407","0.0","0.0","0.0","0.0"
"2011-11-08","17522343.79","10.7498","10.7499","10.7498","10.7499","10.7498"
"2011-11-09","17887079.78","10.7125","10.7126","10.7125","10.7126","10.7125"
"2011-11-10","18670393.98","10.6105","10.6106","10.6105","10.6106","10.6105"
"2011-11-11","19636784.81","10.6138","0.0","0.0","0.0","0.0"
"2011-11-14","19787946.25","10.6955","10.6956","10.6955","10.6956","10.6955"
"2011-11-15","20511974.12","10.6094","10.6095","10.6094","10.6095","10.6094"
"2011-11-16","21863301.9","10.6519","10.652","10.6519","10.652","10.6519"
"2011-11-17","22161406.04","10.5793","10.5794","10.5793","10.5794","10.5793"
"2011-11-18","21919111.19","10.3707","10.3708","10.3707","10.3708","10.3707"
"2011-11-21","25334843.91","10.3313","10.3314","10.3313","10.3314","10.3313"
"2011-11-22","26736071.15","10.1599","10.16","10.1599","10.16","10.1599"
"2011-11-23","28824115.0","10.1819","10.182","10.1819","10.182","10.1819"
"2011-11-24","30755907.25","10.1899","0.0","0.0","0.0","0.0"
"2011-11-25","30462000.57","10.0926","10.0927","10.0926","10.0927","10.0926"
"2011-11-28","31857388.38","10.3138","10.3139","10.3138","10.3139","10.3138"
"2011-11-29","32337771.45","10.2517","10.2518","10.2517","10.2518","10.2517"
"2011-11-30","33296542.37","10.2402","10.2403","10.2402","10.2403","10.2402"
"2011-12-01","35817720.16","10.4413","10.4414","10.4413","10.4414","10.4413"
"2011-12-02","37104956.18","10.4797","10.4798","10.4797","10.4798","10.4797"
"2011-12-06","39169757.94","10.3262","10.3263","10.3262","10.3263","10.3262"
"2011-12-07","41459777.31","10.3867","10.3868","10.3867","10.3868","10.3867"
"2011-12-08","44132009.59","10.4423","10.4424","10.4423","10.4424","10.4423"
"2011-12-09","44900895.32","10.2739","10.274","10.2739","10.274","10.2739"
"2011-12-13","47821525.66","9.974","9.9741","9.974","9.9741","9.974"
"2011-12-14","51366688.13","9.8271","9.8272","9.8271","9.8272","9.8271"
"2011-12-15","56722470.31","9.5175","9.5176","9.5175","9.5176","9.5175"
"2011-12-16","72313802.77","9.5563","9.5564","9.5563","9.5564","9.5563"
"2011-12-19","90460680.63","9.5483","9.5484","9.5483","9.5484","9.5483"
"2011-12-20","114946530.85","9.6073","9.6074","9.6073","9.6074","9.6073"
"2011-12-21","130769752.87","9.7763","9.7764","9.7763","9.7764","9.7763"
"2011-12-22","148058375.43","9.6601","9.6602","9.6601","9.6602","9.6601"
"2011-12-23","157490492.33","9.6555","9.6556","9.6555","9.6556","9.6555"
"2011-12-26","167128300.1","9.6602","0.0","0.0","0.0","0.0"
"2011-12-27","165426679.5","9.5619","9.562","9.5619","9.562","9.5619"
"2011-12-28","190951280.17","9.5035","9.5036","9.5035","9.5036","9.5035"
"2011-12-29","206941398.76","9.2892","9.2893","9.2892","9.2893","9.2892"
"2011-12-30","256761318.54","10.3012","10.3013","10.3012","10.3013","10.3012"
"2012-01-04","267921356.61","9.6875","9.6876","9.6875","9.6876","9.6875"
"2012-01-05","276549691.57","9.7603","9.7604","9.7603","9.7604","9.7603"
"2012-01-06","283426020.38","9.8067","9.8068","9.8067","9.8068","9.8067"
"2012-01-09","285883382.58","9.7829","9.783","9.7829","9.783","9.7829"
"2012-01-10","287771842.01","9.8143","9.8144","9.8143","9.8144","9.8143"
"2012-01-11","289296508.07","9.9128","9.9129","9.9128","9.9129","9.9128"
"2012-01-12","290859446.43","9.9369","9.937","9.9369","9.937","9.9369"
"2012-01-13","291637227.7","9.9456","9.9457","9.9456","9.9457","9.9456"
"2012-01-16","292479350.53","9.9252","0.0","0.0","0.0","0.0"
"2012-01-17","295614982.99","10.0316","10.0317","10.0316","10.0317","10.0316"
"2012-01-18","292286457.01","9.9642","9.9643","9.9642","9.9643","9.9642"
"2012-01-19","296195411.8","10.0671","10.0672","10.0671","10.0672","10.0671"
"2012-01-20","291558176.26","9.9509","9.951","9.9509","9.951","9.9509"
"2012-01-23","292915842.31","9.9365","0.0","0.0","0.0","0.0"
"2012-01-24","293400909.85","9.9529","0.0","0.0","0.0","0.0"
"2012-01-25","296551305.32","10.0598","10.0599","10.0598","10.0599","10.0598"
"2012-01-26","301145073.36","10.2821","10.2822","10.2821","10.2822","10.2821"
"2012-01-27","300173825.33","10.3777","10.3778","10.3777","10.3778","10.3777"
"2012-01-30","301311041.44","10.4031","10.4032","10.4031","10.4032","10.4031"
"2012-01-31","306144325.65","10.5011","10.5012","10.5011","10.5012","10.5011"
"2012-02-01","306765839.62","10.5131","10.5132","10.5131","10.5132","10.5131"
"2012-02-02","308682401.24","10.5555","10.5556","10.5555","10.5556","10.5555"
"2012-02-03","309362965.35","10.6027","10.6028","10.6027","10.6028","10.6027"
"2012-02-06","301480459.58","10.3525","10.3526","10.3525","10.3526","10.3525"
