"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2022-05-18","1985436.69","10.0002","0.0","0.0","0.0","0.0"
"2022-05-19","1936818.72","9.7553","0.0","0.0","0.0","0.0"
"2022-05-20","1986401.99","10.0051","0.0","0.0","0.0","0.0"
"2022-05-23","1990855.81","10.0275","0.0","0.0","0.0","0.0"
"2022-05-24","1950546.89","9.8245","0.0","0.0","0.0","0.0"
"2022-05-25","1956408.03","9.854","9.9093","9.8481","9.8481","9.9093"
"2022-05-26","1953549.62","9.8097","9.8647","9.8038","9.8038","9.8647"
"2022-05-27","1995832.63","10.0015","10.0576","9.9955","9.9955","10.0576"
"2022-05-30","2045455.61","10.2502","10.3078","10.244","10.244","10.3078"
"2022-05-31","2074176.69","10.3815","10.4397","10.3753","10.3753","10.4397"
"2022-06-01","2064372.08","10.3176","10.3755","10.3114","10.3114","10.3755"
"2022-06-02","2048032.75","10.2115","10.2688","10.2054","10.2054","10.2688"
"2022-06-06","2113335.14","10.2971","10.3549","10.2909","10.2909","10.3549"
"2022-06-07","2110855.21","10.2904","10.3482","10.2842","10.2842","10.3482"
"2022-06-08","2151963.68","10.4334","10.492","10.4271","10.4271","10.492"
"2022-06-09","2146642.86","10.4076","10.4659","10.4014","10.4014","10.4659"
"2022-06-10","2120580.95","10.316","10.3739","10.3098","10.3098","10.3739"
"2022-06-13","2055936.55","9.9875","10.0435","9.9815","9.9815","10.0435"
"2022-06-14","2052822.91","9.9387","9.9945","9.9327","9.9327","9.9945"
"2022-06-15","2069725.5","10.0206","10.0768","10.0146","10.0146","10.0768"
"2022-06-16","2034499.78","9.8499","9.9052","9.844","9.844","9.9052"
"2022-06-20","2044485.14","9.8736","9.929","9.8677","9.8677","9.929"
"2022-06-21","2074716.47","9.9711","10.0271","9.9651","9.9651","10.0271"
"2022-06-22","2035262.59","9.7816","9.8365","9.7757","9.7757","9.8365"
"2022-06-23","2041598.78","9.841","9.8962","9.8351","9.8351","9.8962"
"2022-06-24","2074273.29","9.9985","10.0546","9.9925","9.9925","10.0546"
"2022-06-27","2230477.4","10.2164","10.2737","10.2103","10.2103","10.2737"
"2022-06-28","2235914.24","10.2323","10.2897","10.2262","10.2262","10.2897"
"2022-06-29","2204305.27","10.0742","10.1307","10.0682","10.0682","10.1307"
"2022-06-30","2209055.45","9.9567","10.0126","9.9507","9.9507","10.0126"
"2022-07-01","2214339.34","9.9581","0.0","0.0","0.0","0.0"
"2022-07-04","2193199.07","9.863","9.9183","9.8571","9.8571","9.9183"
"2022-07-05","2200619.83","9.9107","9.9663","9.9048","9.9048","9.9663"
"2022-07-06","2164844.52","9.7922","9.8472","9.7863","9.7863","9.8472"
"2022-07-07","2193614.77","9.9222","9.9779","9.9162","9.9162","9.9779"
"2022-07-08","2210621.29","9.9991","10.0552","9.9931","9.9931","10.0552"
"2022-07-11","2162521.79","9.7816","9.8365","9.7757","9.7757","9.8365"
"2022-07-12","2139306.96","9.6805","9.7348","9.6747","9.6747","9.7348"
"2022-07-14","2130767.69","9.7112","9.7657","9.7054","9.7054","9.7657"
"2022-07-15","2107052.41","9.6031","9.657","9.5973","9.5973","9.657"
