"proj_id","risk_spectrum","spec_code"
"M0015_2563","","FF"
"M0016_2563","","FED"
"M0022_2565","",""
"M0037_2563","","FF,RMF"
"M0041_2563","","FF,RMF"
"M0042_2563","","FF,RMF"
"M0050_2558","","ETF"
"M0056_2564","","FF"
"M0057_2564","","FF"
"M0062_2561","","ETF"
"M0064_2561","","ETF"
"M0068_2563","","FF,SSF"
"M0069_2563","","FF,SSF"
"M0070_2563","","FF,SSF"
"M0072_2563","","FF,SSF"
"M0073_2563","","FF,SSF"
"M0096_2562","","FF"
"M0130_2561","","ETF"
"M0136_2566","","FF"
"M0143_2561","","ETF"
"M0144_2561","","ETF"
"M0146_2562","","FF"
"M0147_2562","","FF"
"M0148_2562","","FF"
"M0149_2562","","FF"
"M0158_2565","","FED,RMF"
"M0186_2563","",""
"M0188_2563","","FF"
"M0251_2560","","ETF"
"M0255_2561","","ETF"
"M0259_2560","","ETF"
"M0356_2561","","IND,LTF"
"M0384_2565","","MM"
"M0439_2562","",""
"M0462_2562","",""
"M0477_2563","","FF,RMF"
"M0480_2563","","FF,RMF"
"M0481_2563","","FF,RMF"
"M0482_2563","","FF,RMF"
"M0484_2563","","FF,RMF"
"M0491_2566","","FED"
"M0504_2563","","FF"
"M0581_2563","","FF"
"M0584_2563","","IND"
"M0588_2562","","FF"
"M0590_2562","","FF"
"M0594_2560","","ETF"
"M0619_2562","","FF"
"M0624_2563","","FF"
"M0625_2563","","FF"
"M0626_2563","","FF"
"M0627_2563","","FF"
"M0697_2562","","FF"
"M0698_2562","","FF"
"M0699_2562","",""
"M0700_2562","","FF"
"M0701_2562","","FF"
"M0702_2562","",""
