"proj_id","risk_spectrum","spec_code"
"M0001_2563","","FED"
"M0004_2535","",""
"M0004_2556","","FED,RMF"
"M0004_2557","","FIF"
"M0005_2535","",""
"M0005_2539","",""
"M0006_2543","",""
"M0006_2562","","FED"
"M0008_2552","","SPF"
"M0009_2566","","FED"
"M0010_2561","","FF"
"M0010_2562","","FED,SE"
"M0011_2547","","SSF"
"M0012_2551","","FIF,SPF"
"M0012_2563","","SE"
"M0015_2558","","FIF"
"M0016_2559","","FED,FIF"
"M0018_2551","","FIF,SPF"
"M0018_2552","","SPF"
"M0019_2552","","SPF"
"M0021_2562","RS6",""
"M0025_2560","","FED,SE"
"M0025_2561","","FF"
"M0026_2552","","MM"
"M0029_2554","","SPF"
"M0029_2559","","FED"
"M0030_2563","","FED,SE"
"M0032_2562","",""
"M0033_2563","","FED,SE,SSF"
"M0034_2557","","FIF"
"M0035_2537","",""
"M0035_2558","","FIF"
"M0036_2552","","FED,FF,FIF"
"M0036_2557","","FIF,SPF"
"M0038_2556","","FIF"
"M0039_2553","",""
"M0039_2559","","FED"
"M0040_2554","","SPF"
"M0042_2565","","FF"
"M0043_2552","","FED"
"M0043_2555","","SPF"
"M0044_2555","","SPF"
"M0045_2554","","SPF"
"M0045_2555","","SPF"
"M0045_2559","RS6","FED"
"M0046_2560","","FED"
"M0048_2552","","SPF"
"M0048_2566","","FED,SE"
"M0049_2558","","FIF"
"M0049_2564","","FED"
"M0059_2544","","RMF"
"M0061_2554","","FIF,SPF"
"M0061_2559","","FED"
"M0062_2558","","FIF"
"M0067_2551","","FIF,SPF"
"M0067_2556","","FIF"
"M0069_2561","","FED,SE"
"M0070_2551","","FIF,SPF"
"M0070_2552","","FED,FF,FIF"
"M0071_2551","","FIF,SPF"
"M0072_2551","","FIF,SPF"
"M0073_2561","","FED"
"M0074_2545","","RMF"
"M0074_2562","",""
"M0075_2563","","FED"
"M0076_2558","","FIF"
"M0077_2555","","SPF"
"M0080_2566","","FED"
"M0081_2555","","SSF"
"M0081_2558","","FIF"
"M0082_2555","","SPF"
"M0086_2565","","FF"
"M0087_2555","","SPF"
"M0087_2558","","FIF"
"M0090_2558","","FF,SE"
"M0091_2560","","FED"
"M0094_2556","","FIF,GF"
"M0095_2545","","RMF"
"M0095_2559","","SSF"
"M0096_2545","","RMF"
"M0099_2554","","SPF"
"M0101_2555","","FIF,GF"
