"proj_id","risk_spectrum","spec_code"
"M0025_2565","","FED,SSF"
"M0027_2541","","MM"
"M0035_2547","",""
"M0041_2554","","FED"
"M0045_2564","","FED,SSF"
"M0065_2549","","FED"
"M0066_2546","",""
"M0071_2546","",""
"M0117_2564","","FED,SSF"
"M0140_2545","","RMF"
"M0141_2545","","RMF"
"M0157_2550","","FED"
"M0187_2563","","SSF"
"M0250_2547","","SPF"
"M0250_2564","","FED,SSF"
"M0250_2565","","FED,SSF"
"M0256_2550","","FED"
"M0285_2546","",""
"M0303_2564","","FED,SSF"
"M0315_2561","","FED"
"M0348_2555","","SSF"
"M0363_2549","","FED"
"M0401_2552","","FED,SSF"
"M0413_2548","","SSF"
"M0458_2557","","FED"
"M0470_2562","","MM"
"M0487_2562","",""
"M0488_2562","",""
"M0529_2559","","LTF"
"M0532_2556","","FED"
"M0536_2564","","FED,SSF"
"M0562_2558","","FED,SSF"
"M0569_2565","","RMF"
"M0570_2565","","FED,RMF"
"M0581_2566","","FED,SSF"
"M0582_2548","","FED,SSF"
"M0584_2553","","FED"
"M0698_2547","","LTF"
"M0774_2554","","FED,RMF"
