"proj_id","risk_spectrum","spec_code"
"M0001_2551","","FIF"
"M0002_2552","","SPF"
"M0003_2549","","CPF"
"M0003_2552","","CPF"
"M0005_2549","","CPF"
"M0007_2561","RS4",""
"M0012_2550","","CPF"
"M0012_2557","","SPF"
"M0013_2550","RS4",""
"M0013_2557","","SPF"
"M0014_2552","","SPF"
"M0015_2551","","CPF"
"M0015_2557","","SPF"
"M0016_2551","","CPF"
"M0016_2552","","SPF"
"M0019_2558","","SPF"
"M0020_2558","","SPF"
"M0025_2552","","SPF"
"M0028_2562","RS4",""
"M0029_2556","","SPF"
"M0029_2562","RS4",""
"M0033_2562","RS4",""
"M0034_2562","RS4",""
"M0035_2562","RS4",""
"M0036_2562","RS4",""
"M0041_2559","","SPF"
"M0042_2554","","SPF"
"M0045_2550","","CPF"
"M0046_2556","","SPF"
"M0048_2549","RS3","CRF"
"M0048_2561","RS4",""
"M0049_2549","RS3","CRF"
"M0050_2549","","CPF"
"M0050_2557","","SPF"
"M0051_2558","","SPF"
"M0052_2557","","SPF"
"M0054_2557","","SPF"
"M0055_2556","","FIF,SPF"
"M0055_2562","RS4",""
"M0056_2562","RS4",""
"M0057_2553","","FIF,SPF"
"M0057_2558","","SPF"
"M0058_2555","","SPF"
"M0058_2562","RS4",""
"M0059_2562","RS4",""
"M0060_2552","","SPF"
"M0068_2551","","SPF"
"M0068_2557","","FIF"
"M0069_2555","","SPF"
"M0069_2562","RS4",""
"M0070_2562","RS4",""
"M0071_2556","","FIF,SPF"
"M0071_2557","","SPF"
"M0071_2562","RS4",""
"M0072_2561","RS4",""
"M0073_2559","","SPF"
"M0078_2556","","SPF"
"M0083_2559","","SPF"
"M0084_2552","","FIF,SPF"
"M0085_2557","","SPF"
"M0085_2558","","SPF"
"M0086_2557","","FIF,SPF"
"M0087_2553","","FIF,SPF"
"M0087_2556","","SPF"
"M0087_2557","","FIF,SPF"
"M0092_2553","","SPF"
"M0094_2559","","SPF"
"M0095_2553","","FIF,SPF"
"M0096_2553","","FIF,SPF"
"M0096_2561","RS4",""
"M0097_2552","","SPF"
"M0098_2553","","FIF,SPF"
"M0099_2553","","FIF,SPF"
"M0100_2553","","FIF,SPF"
"M0100_2555","","SPF"
"M0101_2553","","FIF,SPF"
"M0104_2558","","FIF,SPF"
"M0104_2562","RS4",""
"M0107_2559","","SPF"
"M0110_2556","","SPF"
"M0111_2556","","SPF"
"M0115_2553","","FIF,SPF"
"M0119_2559","","SPF"
"M0120_2559","","SPF"
"M0122_2561","RS4",""
"M0123_2558","","SPF"
"M0124_2556","","SPF"
"M0125_2555","","FIF,SPF"
"M0125_2557","","SPF"
"M0126_2557","","SPF"
"M0127_2562","RS4",""
"M0130_2555","","FIF,SPF"
"M0131_2555","","FIF,SPF"
"M0134_2558","","SPF"
"M0138_2558","","SPF"
"M0148_2548","","SPF"
"M0149_2559","","SPF"
"M0151_2556","","SPF"
"M0155_2558","","SPF"
"M0156_2555","","FIF,SPF"
"M0156_2556","","SPF"
"M0157_2552","","SPF"
"M0158_2559","","SPF"
"M0159_2557","","SPF"
"M0160_2557","","FIF,SPF"
"M0161_2552","","SPF"
"M0161_2562","RS4",""
"M0162_2562","RS4",""
"M0167_2555","","SPF"
"M0168_2555","","FIF,SPF"
"M0168_2559","","SPF"
"M0173_2550","","CPF"
"M0173_2558","","SPF"
"M0173_2559","","FED"
"M0174_2554","","FIF"
"M0174_2556","","SPF"
"M0175_2553","","FIF,SPF"
"M0176_2553","","FIF,SPF"
"M0176_2559","","SPF"
"M0179_2557","","SPF"
"M0179_2558","","SPF"
"M0182_2555","","FIF,SPF"
"M0183_2555","","SPF"
"M0183_2559","","SPF"
"M0185_2561","RS4",""
"M0190_2556","","SPF"
"M0193_2557","","FIF,SPF"
"M0195_2557","","SPF"
"M0195_2558","","SPF"
"M0202_2557","","FIF"
"M0203_2557","","SPF"
"M0203_2561","RS4",""
"M0204_2555","","SPF"
"M0204_2558","","SPF"
"M0205_2555","","SPF"
"M0206_2555","","FIF,SPF"
"M0207_2562","RS4",""
"M0209_2559","","SPF"
"M0212_2554","","SPF"
"M0212_2563","","FED"
"M0217_2556","","FIF,SPF"
"M0219_2561","RS4",""
"M0220_2557","","SPF"
"M0224_2563","RS4",""
"M0225_2551","RS5",""
"M0225_2559","","SPF"
"M0226_2559","","SPF"
"M0228_2558","","FIF,SPF"
"M0231_2551","","FIF,SPF"
"M0233_2551","","FIF,SPF"
"M0233_2555","","FIF,SPF"
"M0233_2556","","SPF"
"M0234_2551","","FIF,SPF"
"M0234_2555","","SPF"
