"proj_id","risk_spectrum","spec_code"
"M0008_2564","","FED"
"M0014_2565","",""
"M0014_2566","","FED"
"M0024_2563","","FF"
"M0027_2563","","FED"
"M0055_2564","","FED"
"M0078_2563","","FF"
"M0104_2564","","FF"
"M0105_2562","","MM"
"M0105_2563","","FF,SE"
"M0110_2565","",""
"M0113_2563","","FED"
"M0137_2562","",""
"M0159_2562","",""
"M0162_2565","",""
"M0169_2565","","FED"
"M0197_2563","",""
"M0203_2562","","FF"
"M0205_2564","",""
"M0210_2563","",""
"M0220_2564","","FF,SE"
"M0246_2562","","FF"
"M0252_2562","","FED,SE"
"M0271_2564","","FF"
"M0273_2564","","FED"
"M0275_2563","",""
"M0300_2563","","FED"
"M0310_2562","","FF"
"M0318_2562","","FF,SE"
"M0354_2562","","FF"
"M0370_2563","","FED,RMF,SE"
"M0398_2563","","MM,RMF"
"M0407_2563","","FF"
"M0417_2564","","FED"
"M0433_2562","","FED"
"M0437_2565","","FED"
"M0461_2563","","FED"
"M0498_2562","","FED"
"M0502_2563","","FED"
"M0506_2563","","FED,RMF"
"M0541_2563","","FF"
"M0547_2562","","FED,SE"
"M0568_2562","","FED"
"M0593_2563","",""
"M0601_2562","","FED"
"M0641_2562","","FED,SE"
"M0683_2562","","FED"
"M0737_2562","",""
