"proj_id","risk_spectrum","spec_code"
"M0000_2553","","SPF"
"M0001_2558","","FIF,SPF"
"M0003_2558","","SPF"
"M0003_2563","",""
"M0004_2555","","SPF"
"M0004_2563","",""
"M0006_2557","","CPF,SPF"
"M0007_2553","","SPF"
"M0007_2554","","GF,SNF,SPF"
"M0007_2562","RS4",""
"M0008_2537","",""
"M0008_2553","","SPF"
"M0008_2554","","SPF"
"M0008_2557","","SPF"
"M0008_2562","RS4",""
"M0009_2543","",""
"M0009_2557","","FIF,SPF"
"M0010_2555","","CPF"
"M0010_2563","",""
"M0010_2565","",""
"M0012_2559","","FIF,SPF"
"M0013_2564","",""
"M0014_2536","",""
"M0015_2554","","SPF"
"M0015_2565","",""
"M0016_2556","","CPF"
"M0016_2561","RS4",""
"M0017_2538","",""
"M0017_2558","","FIF,SPF"
"M0017_2562","RS4",""
"M0018_2555","","SPF"
"M0018_2556","","SPF"
"M0019_2553","","FIF"
"M0019_2562","RS4",""
"M0020_2552","","FIF,SPF"
"M0020_2556","","SPF"
"M0021_2538","",""
"M0021_2556","","FIF,SPF"
"M0022_2558","","FIF,SPF"
"M0023_2538","",""
"M0023_2558","","FIF,SPF"
"M0023_2563","",""
"M0024_2564","",""
"M0026_2561","RS4",""
"M0026_2563","","FED"
"M0026_2565","",""
"M0027_2535","",""
"M0027_2557","","SPF"
"M0027_2561","RS4",""
"M0027_2564","",""
"M0028_2537","RS6",""
"M0028_2557","","FIF,SPF"
"M0028_2564","",""
"M0029_2553","","SPF"
"M0029_2561","RS4",""
"M0030_2553","","FIF"
"M0030_2559","",""
"M0030_2561","RS4",""
"M0031_2553","","FIF"
"M0032_2552","","FIF,SPF"
"M0032_2553","","FED,FF"
"M0033_2554","","SPF"
"M0033_2555","","CPF"
"M0034_2555","","SPF"
"M0035_2555","","FIF,SPF"
"M0036_2536","RS6",""
"M0036_2555","","SPF"
"M0036_2558","","FIF,SPF"
"M0036_2565","",""
"M0037_2536","",""
"M0037_2554","","SPF"
"M0037_2555","","FIF,SPF"
"M0037_2557","","SPF"
"M0037_2558","","FIF,SPF"
"M0038_2536","RS6",""
