"proj_id","risk_spectrum","spec_code"
"M0002_2553","","FIF,SPF"
"M0002_2554","","FIF,SPF"
"M0002_2557","","SPF"
"M0004_2545","",""
"M0007_2563","",""
"M0007_2565","","FED,SSF"
"M0009_2551","","SPF"
"M0009_2559","","FIF,SPF"
"M0009_2564","","FED,SSF"
"M0011_2562","RS4",""
"M0012_2562","RS4",""
"M0014_2562","RS4",""
"M0015_2552","","FIF"
"M0015_2562","RS4",""
"M0016_2564","","FF"
"M0017_2564","","FF"
"M0020_2543","",""
"M0020_2564","","FF"
"M0021_2559","","FED,SSF"
"M0021_2563","","FED"
"M0021_2564","","FF"
"M0021_2565","",""
"M0022_2557","","SPF"
"M0022_2564","","FF"
"M0023_2564","","FF"
"M0024_2553","","FIF,SPF"
"M0025_2549","","CPF,FIF"
"M0026_2564","",""
"M0027_2562","","FF"
"M0029_2552","","SPF"
"M0029_2555","","SPF"
"M0029_2558","","SPF"
"M0029_2565","",""
"M0030_2552","","SPF"
"M0030_2556","","FIF,SPF"
"M0031_2543","","SSF"
"M0031_2552","","SPF"
"M0031_2565","",""
"M0032_2561","","FF,SSF"
"M0032_2564","",""
"M0033_2561","","FF,SSF"
"M0033_2564","",""
"M0034_2565","",""
"M0035_2557","","SPF"
"M0035_2561","","FF,SSF"
"M0036_2561","","FF,SSF"
"M0037_2562","RS4",""
"M0039_2544","","SPF"
"M0041_2562","RS4",""
"M0042_2555","","SPF"
"M0043_2554","","SPF"
"M0043_2558","","FIF,SPF"
"M0044_2554","","SPF"
"M0047_2562","RS4",""
"M0048_2562","RS4",""
"M0049_2556","","SPF"
"M0049_2562","RS4",""
"M0050_2561","RS4",""
"M0050_2562","RS4",""
"M0052_2563","",""
"M0054_2553","","FIF,SPF"
"M0055_2558","RS6",""
"M0055_2563","","FF"
"M0055_2565","","FF,SSF"
"M0057_2565","",""
"M0060_2555","","SPF"
"M0061_2555","","FIF,SPF"
"M0061_2558","","FIF,SPF"
"M0061_2564","","FED,SSF"
"M0062_2566","","FED,SSF"
"M0063_2562","RS4",""
"M0064_2562","RS4",""
"M0065_2550","","CPF"
"M0065_2557","","SPF"
"M0065_2561","RS4",""
"M0066_2550","","CPF"
"M0067_2550","","CPF"
"M0067_2553","","FIF,SPF"
"M0067_2559","","SPF"
"M0068_2555","","FIF,SPF"
"M0068_2565","",""
"M0069_2564","",""
"M0070_2564","",""
"M0072_2558","","FIF,SPF"
"M0075_2557","","SPF"
"M0075_2565","",""
"M0076_2565","",""
"M0078_2555","","SPF"
"M0079_2546","","SPF"
"M0079_2559","","SPF"
"M0083_2556","","SPF"
"M0083_2565","","FED,SSF"
"M0085_2550","","CPF"
"M0086_2562","","FED"
"M0087_2560","","FED,SSF"
"M0088_2561","","FED"
"M0089_2557","","SPF"
"M0091_2559","","SPF"
"M0092_2556","","FIF,SPF"
"M0095_2555","","FIF,SPF"
"M0097_2563","",""
"M0099_2563","",""
"M0100_2559","","SPF"
"M0100_2565","",""
"M0101_2559","","SPF"
"M0101_2561","","FED"
"M0101_2563","",""
"M0102_2559","","FED"
"M0102_2563","",""
"M0103_2556","RS7","ETF,SE"
"M0103_2561","","FED"
"M0103_2563","",""
"M0104_2550","","CPF"
"M0105_2550","","CPF"
"M0105_2561","RS4",""
"M0106_2550","","CPF"
"M0106_2562","RS4",""
"M0107_2550","","CPF"
"M0107_2551","","SPF"
"M0108_2550","","CPF"
"M0108_2551","","SPF"
"M0108_2554","","SPF"
"M0108_2559","","SPF"
"M0109_2550","","CPF"
"M0109_2562","RS4",""
"M0110_2545","","RMF"
"M0110_2550","","CPF"
"M0110_2551","","SPF"
"M0110_2562","RS4",""
"M0111_2551","","SPF"
"M0112_2545","","RMF"
"M0112_2551","","SPF"
"M0112_2556","","SPF"
"M0113_2550","","CPF"
"M0113_2551","","SPF"
"M0113_2564","","FF"
"M0114_2551","","SPF"
"M0114_2563","","FED"
"M0114_2564","",""
"M0115_2551","","SPF"
"M0115_2558","","FIF,SPF"
"M0116_2551","","SPF"
"M0117_2551","","CPF"
"M0117_2557","","SPF"
"M0117_2563","",""
