"proj_id","risk_spectrum","spec_code"
"M0001_2536","RS6",""
"M0002_2560","","FED,SSF"
"M0005_2563","","FED"
"M0010_2549","","FED,FIF"
"M0010_2557","","FIF,SPF"
"M0011_2557","","FIF,SPF"
"M0014_2564","","FF,SSF"
"M0016_2557","","FIF,SPF"
"M0020_2559","","SPF"
"M0021_2554","RS4",""
"M0021_2558","RS5","FED,RMF"
"M0023_2553","","SPF"
"M0025_2556","","SPF"
"M0028_2547","RS6",""
"M0028_2558","","FIF,SPF"
"M0030_2548","","FIF"
"M0032_2540","RS5",""
"M0034_2543","RS4",""
"M0035_2542","",""
"M0035_2543","RS1","MM,SSF"
"M0036_2537","RS6",""
"M0039_2554","","SPF"
"M0040_2557","","SPF"
"M0040_2565","","FED,SSF"
"M0041_2557","","SPF"
"M0042_2552","","SPF"
"M0048_2536","RS6",""
"M0049_2553","","SPF"
"M0050_2544","","SPF"
"M0050_2552","","SPF"
"M0050_2556","","SPF"
"M0052_2536","RS6",""
"M0052_2544","","SPF"
"M0053_2544","","SPF"
"M0053_2556","","SPF"
"M0055_2557","","SPF"
"M0056_2558","","FIF,SPF"
"M0060_2558","","FIF,SPF"
"M0061_2551","","SPF"
"M0064_2565","","ETF,FED"
"M0069_2558","","FIF"
"M0072_2556","","SPF"
"M0073_2552","","SPF"
"M0074_2551","","SPF"
"M0075_2551","","SPF"
"M0076_2545","RS4",""
"M0076_2551","","SPF"
"M0076_2552","","SPF"
"M0076_2563","","FED"
"M0077_2552","","SPF"
"M0078_2546","RS5","CRF,RMF"
"M0078_2551","","SPF"
"M0080_2565","","FED"
"M0082_2554","","FIF"
"M0082_2559","","SPF"
"M0083_2545","RS3","RMF"
"M0086_2556","","FIF"
"M0088_2545","RS4","RMF"
"M0089_2545","","RMF"
"M0090_2553","","FIF,SPF"
"M0091_2553","","SPF"
"M0093_2556","","SPF"
"M0094_2553","","FIF,SPF"
"M0094_2557","","FIF,SPF"
"M0095_2562","",""
"M0098_2562","",""
"M0102_2561","","FF"
"M0105_2556","","SPF"
"M0108_2564","","FED"
"M0109_2559","RS4","SPF"
"M0110_2552","","FIF,SPF"
"M0110_2557","","SPF"
"M0111_2557","","FIF,SPF"
"M0112_2557","","FIF,SPF"
"M0116_2546","","SPF"
"M0116_2549","","MM,SSF"
"M0117_2558","","SPF"
"M0117_2559","","SPF"
"M0119_2556","","FIF"
"M0120_2550","","FED"
"M0123_2552","","FIF,SPF"
"M0124_2554","","SPF"
"M0127_2559","RS4",""
"M0129_2558","","SPF"
"M0129_2559","","SPF"
"M0130_2559","RS4","SPF"
"M0134_2559","","SPF"
"M0139_2553","","FIF"
"M0142_2566","","FED,SSF"
"M0145_2558","","FIF,SPF"
"M0145_2561","","FED"
"M0146_2552","","FIF,SPF"
"M0147_2549","RS6","FF"
"M0148_2549","","CPF"
"M0150_2554","","FIF,SPF"
"M0152_2562","",""
"M0154_2564","","FED,RMF"
"M0156_2557","","FIF,SPF"
"M0157_2556","","SPF"
"M0158_2558","","FIF,SPF"
"M0165_2556","","FIF,SPF"
"M0165_2557","","FIF,SPF"
"M0165_2562","","FED,RMF"
"M0165_2563","","SSF"
"M0167_2561","","FED"
"M0169_2564","","FED,RMF"
"M0172_2556","","FIF,SPF"
"M0172_2557","","FIF,SPF"
"M0173_2557","","FIF,SPF"
"M0176_2556","","SPF"
"M0176_2558","","FIF"
"M0177_2556","","SPF"
"M0178_2545","RS3","RMF"
"M0178_2556","","SPF"
"M0178_2558","","FIF"
"M0179_2550","","CPF"
"M0180_2545","RS5","CRF,RMF"
"M0180_2551","","FIF,SNF,SPF"
"M0180_2558","","FIF,SPF"
"M0181_2545","RS6","RMF"
"M0181_2558","","FIF,SPF"
"M0182_2558","","FIF,SPF"
"M0182_2566","","FED"
"M0183_2558","","FIF,SPF"
"M0188_2557","","FIF,SPF"
"M0191_2557","","FIF,SPF"
"M0194_2555","RS5",""
"M0205_2561","","FED"
"M0208_2549","","SPF"
"M0208_2557","","FIF,SPF"
"M0210_2557","","FIF,SPF"
"M0212_2558","RS5","FED"
"M0214_2557","","FIF,SPF"
"M0215_2557","","FIF,SPF"
"M0217_2564","",""
"M0218_2556","","SPF"
"M0220_2542","RS6",""
"M0222_2555","RS1","MM"
"M0227_2560","","FED"
"M0228_2551","RS6",""
"M0232_2553","RS8","FED"
"M0232_2555","","FIF,SPF"
"M0232_2563","","FED,SSF"
"M0233_2550","","FED"
"M0236_2564","",""
"M0237_2563","","FF"
"M0238_2557","","FED"
"M0239_2557","","FED"
"M0239_2564","",""
"M0242_2550","RS6","LTF"
"M0242_2556","","SPF"
"M0243_2558","RS5","FED"
"M0243_2560","RS5",""
"M0245_2550","RS6","LTF"
"M0245_2552","","FIF,SPF"
"M0246_2549","","CPF"
"M0247_2549","","CPF"
"M0247_2553","","FIF"
"M0250_2563","","FF"
"M0259_2558","","FIF"
"M0260_2558","","FED"
"M0265_2562","",""
"M0267_2556","","FIF,SPF"
"M0268_2556","","FIF,SPF"
"M0269_2556","","FIF,SPF"
"M0269_2561","","FED"
"M0270_2556","","FIF,SPF"
"M0271_2553","","SPF"
"M0273_2559","RS5","FED"
"M0276_2561","","FED,SSF"
"M0279_2555","","FIF,SPF"
"M0280_2562","","FED,RMF"
"M0283_2549","","CPF"
"M0283_2553","","FIF"
"M0283_2566","","FED,SSF"
"M0284_2549","","CPF"
"M0287_2559","",""
"M0290_2555","","SPF"
"M0296_2552","","FED"
"M0300_2548","RS6",""
"M0317_2562","",""
"M0322_2552","","FIF,SPF"
"M0324_2553","","FIF"
"M0334_2549","","CPF"
"M0336_2551","RS8","FED"
"M0339_2551","","FIF,SPF"
"M0344_2551","","FIF,SPF"
"M0345_2551","","FIF,SPF"
"M0345_2561","","SSF"
"M0346_2550","","FIF"
"M0347_2551","","FIF,SPF"
"M0349_2551","","FIF,SPF"
"M0349_2553","","SPF"
"M0350_2551","","FIF,SPF"
"M0351_2551","","FIF,SPF"
"M0352_2551","","FIF,SPF"
"M0353_2564","","ETF,FED"
"M0356_2551","","FIF,SPF"
"M0357_2551","","FIF,SPF"
"M0358_2551","","FIF,SPF"
"M0359_2551","","FIF,SPF"
"M0362_2551","","FIF,SPF"
"M0362_2555","","FIF,SPF"
"M0364_2551","","FIF,SPF"
"M0365_2550","","FIF,SPF"
"M0365_2551","","FIF,SPF"
"M0366_2551","","FIF,SPF"
"M0367_2551","","FIF,SPF"
"M0368_2550","","FIF,SPF"
"M0368_2551","","FIF,SPF"
"M0368_2559","RS6",""
"M0369_2551","","FIF,SPF"
"M0370_2551","","FIF,SPF"
"M0372_2550","","FIF,SPF"
"M0374_2550","","FIF,SPF"
"M0375_2550","","FIF,SPF"
"M0375_2564","","FED,SSF"
"M0382_2549","RS5","CRF,RMF"
"M0389_2550","RS6","FED"
"M0389_2558","","FED"
"M0391_2560","RS5",""
"M0393_2553","","FIF,SE"
"M0394_2555","","FIF,SPF"
"M0395_2558","",""
"M0397_2555","","FIF,SPF"
"M0397_2558","","SPF"
"M0398_2561","","FED,RMF"
"M0399_2549","","CPF"
"M0399_2551","","FIF,SPF"
"M0402_2550","","FIF,SPF"
"M0402_2551","","FIF,SPF"
"M0403_2551","","FIF,SPF"
"M0403_2552","","FIF,SPF"
"M0404_2556","","FIF"
"M0410_2551","","FIF,SPF"
"M0411_2551","","FIF,SPF"
"M0412_2551","","FIF,SPF"
"M0413_2551","","FIF,SPF"
"M0414_2551","","FIF,SPF"
"M0414_2552","","FIF,SPF"
"M0415_2550","","SPF"
"M0415_2551","","FIF,SPF"
"M0416_2551","","FIF,SPF"
"M0417_2551","","FIF,SPF"
"M0418_2551","","FIF,SPF"
"M0418_2564","",""
"M0419_2551","","FIF,SPF"
"M0420_2551","","FIF,SPF"
"M0421_2551","","FIF,SPF"
"M0422_2551","","FIF,SPF"
"M0423_2550","","FED"
"M0423_2551","","FIF,SPF"
"M0424_2551","","FIF,SPF"
"M0425_2551","","FIF,SPF"
"M0426_2551","","FIF,SPF"
"M0427_2552","","FIF"
"M0431_2552","","FIF"
"M0431_2555","","FIF,SPF"
"M0433_2550","","SPF"
"M0433_2552","","FIF"
"M0434_2550","","SPF"
"M0434_2558","","FED"
"M0435_2550","","SPF"
"M0437_2550","","SPF"
"M0438_2558","","FIF"
"M0439_2550","","SPF"
"M0441_2558","","FIF,SPF"
"M0443_2550","","FIF,SNF,SPF"
"M0443_2562","",""
"M0444_2550","","FIF,SPF"
"M0449_2550","","FIF,SPF"
"M0449_2551","","FIF"
"M0450_2550","","FIF,SPF"
"M0451_2550","","FIF,SPF"
"M0452_2550","","FIF,SPF"
"M0456_2552","","FIF"
"M0457_2552","","FIF"
"M0457_2563","","FED,SSF"
"M0458_2552","","FIF"
"M0459_2552","","FIF"
"M0460_2552","","FIF"
"M0460_2559","","FED,RMF"
"M0461_2552","","FIF"
"M0462_2552","","FIF"
"M0463_2552","","FIF"
"M0465_2562","","MM"
"M0465_2563","","FED,SSF"
"M0466_2550","","FED"
"M0467_2552","","FIF"
"M0468_2552","","FIF"
"M0469_2552","","FIF"
"M0470_2552","","FIF"
"M0471_2552","","FIF"
"M0472_2552","","FIF"
"M0472_2555","","SPF"
"M0473_2552","","FIF,SPF"
"M0473_2562","","FF"
"M0474_2552","","FIF,SPF"
"M0475_2552","","SPF"
"M0475_2558","RS7","FED,RMF,SE"
"M0476_2552","","SPF"
"M0476_2557","","FIF"
"M0477_2552","","SPF"
"M0477_2557","","FIF"
"M0482_2557","","SPF"
"M0483_2562","",""
"M0490_2557","","SPF"
"M0492_2547","","LTF,SSF"
"M0494_2560","",""
"M0495_2555","","FIF,SPF"
"M0499_2562","","FED,SE"
"M0500_2551","","FIF,SNF,SPF"
"M0502_2564","","FF,SSF"
"M0503_2551","","FIF,SPF"
"M0506_2551","","FIF,SPF"
"M0508_2551","","FIF,SPF"
"M0509_2551","","FIF,SPF"
"M0509_2558","","FIF,SPF"
"M0510_2551","","FIF,SPF"
"M0510_2560","","FED,RMF"
"M0514_2554","","SPF"
"M0518_2554","","SPF"
"M0521_2558","RS7","FED,SE"
"M0523_2562","","FF,SSF"
"M0524_2562","","FF,SSF"
"M0525_2551","","MM"
"M0525_2562","","FF,SSF"
"M0533_2561","","FED,SSF"
"M0540_2558","","FIF,SPF"
"M0544_2558","","FIF,SPF"
"M0550_2557","","SPF"
"M0553_2558","","FIF,SPF"
"M0555_2558","","FIF,SPF"
"M0556_2556","","FIF,SPF"
"M0558_2551","","FIF,SPF"
"M0558_2558","","FIF,SPF"
"M0559_2551","","FIF,SPF"
"M0568_2558","","FIF,SPF"
"M0569_2558","","FIF,SPF"
"M0571_2551","","FIF,SPF"
"M0573_2553","","FED"
"M0574_2551","","FED,FF,FIF,SPF"
"M0575_2551","","FED,FF,FIF"
"M0582_2556","","SPF"
"M0582_2559","RS6","LTF"
"M0590_2557","","FIF,SPF"
"M0598_2558","RS6","FED"
"M0599_2557","","FIF,SPF"
"M0604_2552","","SPF"
"M0607_2559","","RMF"
"M0609_2556","","FIF,SPF"
"M0611_2560","","FED,SSF"
"M0614_2547","","LTF"
"M0615_2555","RS6",""
"M0615_2556","","SPF"
"M0620_2556","","FIF,SPF"
"M0624_2551","","SPF"
"M0624_2557","","SPF"
"M0628_2563","","FF,SE"
"M0629_2563","",""
"M0630_2558","RS6","FED"
"M0631_2556","","SPF"
"M0632_2556","","SPF"
"M0637_2551","","SPF"
"M0639_2552","","FIF"
"M0642_2556","","FIF,SPF"
"M0643_2557","","SPF"
"M0644_2553","RS6",""
"M0644_2557","RS7","FED,SE,SSF"
"M0654_2557","","FED,SE,SSF"
"M0656_2551","","SPF"
"M0659_2558","","FIF,SPF"
"M0663_2551","","SPF"
"M0666_2562","","FF"
"M0669_2558","","FIF,SPF"
"M0670_2558","","FIF,SPF"
"M0671_2550","","FIF,SPF"
"M0671_2558","","FIF,SPF"
"M0676_2552","","FIF"
"M0679_2551","","SPF"
"M0688_2558","RS6","FED"
"M0694_2551","","SPF"
"M0704_2547","RS5","CRF,RMF"
"M0705_2551","","SPF"
"M0706_2559","","FED"
"M0711_2558","","FIF,SPF"
"M0728_2554","","SPF"
"M0728_2555","","FIF,SPF"
"M0728_2556","","FIF,SPF"
"M0729_2554","","SPF"
"M0730_2554","","SPF"
"M0730_2557","","FIF,SPF"
"M0733_2557","","FIF,SPF"
"M0734_2557","","FIF,SPF"
"M0735_2557","","FIF,SPF"
"M0741_2558","","FED,SSF"
"M0746_2555","","FIF,SPF"
"M0758_2558","","SPF"
"M0762_2556","","FIF,SPF"
"M0766_2547","RS4","RMF"
"M0775_2556","","FIF,SPF"
"M0784_2554","RS4","FED"
"M0790_2555","","CPF"
"M0796_2556","","FIF,SPF"
"M0797_2555","","SPF"
"M0804_2556","","FIF,SPF"
"M0810_2554","RS4","FED"
"M0813_2556","","FIF,SPF"
"M0813_2557","","FIF,SPF"
"M0815_2554","RS8","FED,RMF"
"M0820_2556","","FIF,SPF"
"M0838_2555","","SPF"
"M0843_2557","","FIF"
"M0852_2548","RS5","CRF,RMF"
"M0853_2566","","TESG"
"M0854_2555","","SPF"
"M0860_2548","RS6","LTF"
"M0861_2557","","FIF,SPF"
"M0862_2554","RS8","FED"
"M0884_2554","","IND,SPF"
"M0930_2556","","FED"
"M0966_2554","","CPF"
"M0981_2553","","SPF"
"M0982_2553","","SPF"
"M0983_2556","RS6","FED"
"M0985_2555","","FIF"
"M0987_2553","","SPF"
"M0998_2553","","SPF"
"M0999_2553","","SPF"
"M1001_2553","","SPF"
"M1002_2553","","SPF"
"M1003_2553","","SPF"
"M1004_2553","","SPF"
"M1005_2553","","SPF"
"M1006_2553","","SPF"
"M1007_2553","","SPF"
"M1008_2553","","SPF"
"M1009_2553","","SPF"
"M1010_2553","","SPF"
"M1011_2553","","SPF"
"M1012_2553","","SPF"
"M1013_2553","","SPF"
"M1014_2553","","SPF"
"M1015_2553","","SPF"
"M1016_2553","","SPF"
"M1017_2553","","SPF"
"M1018_2553","","SPF"
"M1019_2553","","SPF"
"M1020_2553","","SPF"
"M1021_2553","","SPF"
"M1022_2553","","SPF"
"M1023_2553","","SPF"
"M1024_2553","","SPF"
"M1027_2553","","SPF"
"M1028_2553","","SPF"
"M1029_2553","","SPF"
"M1039_2553","","FIF"
"M1040_2553","","FIF"
"M1071_2557","","FIF,SPF"
"M1095_2557","","FIF"
"M1117_2557","","FIF,SPF"
"M1140_2557","","FIF,SPF"
"M1175_2557","","FIF,SPF"
"M1199_2557","RS5","FED"
"M1232_2557","RS5",""
"M1245_2557","","FIF"
"M1253_2557","","FIF"
