"proj_id","risk_spectrum","spec_code"
"M0001_2540","",""
"M0003_2540","","CF"
"M0015_2536","",""
"M0016_2536","",""
"M0016_2560","","SE"
"M0017_2535","",""
"M0017_2549","","CPF"
"M0021_2536","",""
"M0022_2552","","SPF"
"M0022_2561","",""
"M0022_2562","",""
"M0022_2563","",""
"M0024_2566","","FED"
"M0025_2536","",""
"M0026_2556","RS6","ETF"
"M0032_2551","RS4",""
"M0038_2558","","FIF,SPF"
"M0038_2561","","FF"
"M0039_2557","","SPF"
"M0041_2536","",""
"M0046_2552","","SPF"
"M0050_2536","",""
"M0052_2556","","SPF"
"M0063_2558","","SPF"
"M0068_2544","","MM,RMF"
"M0069_2544","","RMF"
"M0070_2544","","RMF"
"M0071_2564","","FF"
"M0073_2558","","SPF"
"M0075_2545","","FIF,SPF"
"M0076_2557","","SPF"
"M0076_2559","",""
"M0076_2560","RS5","FF"
"M0078_2561","","FED"
"M0088_2562","",""
"M0090_2562","",""
"M0093_2553","","FED,RMF"
"M0107_2564","","FF,SSF"
"M0114_2542","",""
"M0121_2558","","FIF,SPF"
"M0132_2545","",""
"M0134_2546","",""
"M0136_2563","","SSF"
"M0137_2545","","CF"
"M0140_2556","","FF,SE"
"M0140_2561","",""
"M0143_2552","","FIF,SPF"
"M0143_2563","",""
"M0148_2559","",""
"M0149_2564","","FF,RMF"
"M0150_2565","","FF"
"M0167_2554","","FIF"
"M0170_2553","","SPF"
"M0180_2542","","CF"
"M0192_2562","",""
"M0193_2556","","SPF"
"M0199_2550","","LTF"
"M0206_2554","","SPF"
"M0207_2564","","FF"
"M0209_2557","","SPF"
"M0212_2552","","FIF,SPF"
"M0213_2566","","FED"
"M0214_2542","",""
"M0235_2551","",""
"M0240_2561","","FF,SSF"
"M0241_2560","RS4",""
"M0244_2561","RS6",""
"M0253_2562","",""
"M0258_2558","",""
"M0259_2550","","ETF"
"M0259_2557","","SPF"
"M0276_2554","RS4",""
"M0278_2553","","SPF"
"M0279_2558","","SPF"
"M0280_2548","",""
"M0280_2560","","FF,SE"
"M0291_2564","","FED"
"M0294_2551","","FIF,SPF"
"M0301_2565","","FED"
"M0307_2552","","FIF,SPF"
"M0309_2555","","OTH,SPF"
"M0314_2552","","ETF"
"M0323_2560","RS6","FF"
"M0337_2554","RS4",""
"M0337_2557","","SPF"
"M0343_2564","","FED"
"M0348_2551","","FIF,SPF"
"M0351_2560","RS6",""
"M0363_2558","",""
"M0364_2548","","LTF"
"M0372_2556","",""
"M0375_2560","RS4",""
"M0377_2561","",""
"M0394_2561","",""
"M0395_2557","RS5",""
"M0399_2550","","CPF"
"M0400_2553","","SPF"
"M0414_2559","RS6",""
"M0430_2550","","FF"
"M0431_2550","","FIF,SPF"
"M0432_2555","","SPF"
"M0435_2553","","FIF,SPF"
"M0436_2558","RS6","FF"
"M0437_2554","","ETF"
"M0443_2565","","FF"
"M0449_2561","",""
"M0452_2552","","FIF,SPF"
"M0453_2552","","FIF,SPF"
"M0454_2560","","FED"
"M0454_2562","",""
"M0457_2554","","ETF,GF"
"M0464_2557","","SPF"
"M0467_2563","","FED"
"M0473_2559","","LTF"
"M0475_2563","","FED,RMF"
"M0476_2551","","FIF,SPF"
"M0490_2563","",""
"M0494_2555","","OTH,SPF"
"M0502_2552","","FED"
"M0509_2564","","FED,SE"
"M0510_2552","","FIF,SPF"
"M0512_2546","",""
"M0518_2559","","LTF"
"M0542_2556","","FIF,SPF"
"M0546_2562","",""
"M0552_2562","","FED"
"M0558_2563","","FF,RMF"
"M0560_2558","","SPF"
"M0561_2558","RS6","FED"
"M0568_2554","","FED,SE"
"M0572_2553","","FIF,SPF"
"M0597_2547","","LTF"
"M0601_2556","RS6",""
"M0609_2559","",""
"M0609_2560","","FED"
"M0610_2552","","FF,SE"
"M0616_2555","","OTH,SPF"
"M0618_2562","","FED,SSF"
"M0619_2559","RS4",""
"M0626_2551","",""
"M0633_2546","","RMF"
"M0637_2559","","FF,RMF"
"M0638_2560","",""
"M0649_2557","","FIF"
"M0664_2560","","FED,SE"
"M0672_2566","","SSF"
"M0685_2555","","SPF"
"M0717_2558","","FED,SSF"
"M0723_2552","","SPF"
"M0725_2558","","FED"
"M0728_2547","RS4",""
"M0740_2557","RS6","FED"
"M0746_2550","","MM,SSF"
"M0752_2558","","SPF"
"M0768_2546","",""
"M0768_2555","","FF,RMF,SE"
"M0774_2553","RS4",""
"M0775_2553","","SPF"
"M0815_2548","","CPF"
"M0818_2566","","TESG"
"M0843_2548","","FF"
"M0853_2557","","IND"
"M0858_2548","RS4",""
"M0888_2553","","SPF"
"M0909_2556","","FIF,SPF"
"M0921_2555","","OTH,SPF"
"M0932_2553","","SPF"
"M1238_2557","","FIF,SPF"
"M1247_2557","","SPF"
