"proj_id","risk_spectrum","spec_code"
"M0000_2552","","SSF"
"M0001_2524","","OTH"
"M0001_2531","",""
"M0001_2550","","SPF"
"M0002_2530","",""
"M0002_2531","RS6","CF"
"M0002_2533","",""
"M0002_2551","","SPF"
"M0002_2556","","SPF"
"M0003_2533","",""
"M0003_2556","","SPF"
"M0003_2561","",""
"M0005_2564","",""
"M0006_2553","","SPF"
"M0007_2557","","SPF"
"M0008_2530","","CF"
"M0009_2565","","FED,SE"
"M0010_2564","",""
"M0011_2551","","FIF,SPF"
"M0014_2551","","SPF"
"M0017_2540","",""
"M0017_2552","","SPF"
"M0019_2535","",""
"M0019_2537","",""
"M0019_2555","","FIF,SPF"
"M0022_2537","",""
"M0022_2554","","SPF"
"M0023_2536","",""
"M0023_2565","",""
"M0024_2536","",""
"M0025_2551","RS6","FED"
"M0026_2537","",""
"M0027_2556","","FIF,SPF"
"M0030_2562","RS4",""
"M0031_2536","",""
"M0032_2536","",""
"M0038_2552","","FIF,SPF"
"M0039_2536","",""
"M0039_2552","","SPF"
"M0041_2553","","FIF,SPF"
"M0042_2544","","MCF,SPF"
"M0046_2561","","FED"
"M0047_2554","",""
"M0047_2555","","SPF"
"M0047_2563","",""
"M0048_2558","RS8","FED"
"M0048_2565","","FED"
"M0056_2553","","SPF"
"M0057_2545","","RMF"
"M0057_2552","","FIF,SPF"
"M0062_2552","","SPF"
"M0062_2565","",""
"M0063_2561","",""
"M0066_2564","",""
"M0068_2553","",""
"M0069_2552","","SPF"
"M0070_2554","","SPF"
"M0071_2549","","FF"
"M0072_2538","",""
"M0072_2564","",""
"M0077_2545","RS6",""
"M0077_2551","","SPF"
"M0078_2560","","LTF"
"M0082_2545","","RMF"
"M0082_2552","","SPF"
"M0082_2558","","SPF"
"M0083_2552","","SPF"
"M0083_2553","","SPF"
"M0084_2545","","MM,RMF"
"M0084_2558","","FIF,SE,SPF"
"M0084_2563","","FED,SE,SSF"
"M0085_2563","",""
"M0087_2551","","SPF"
"M0088_2556","","SPF"
"M0089_2551","","SPF"
"M0089_2556","",""
"M0090_2551","","SPF"
"M0090_2556","",""
"M0091_2551","","SPF"
"M0093_2545","","RMF"
"M0094_2558","","SSF"
"M0099_2555","","SPF"
"M0102_2553","","SPF"
"M0102_2555","","FIF,SPF"
"M0104_2555","","FIF,GF,SPF"
"M0105_2559","RS7","CIV,SE"
"M0108_2561","",""
"M0111_2561","","FED"
"M0113_2561","","RMF"
"M0114_2556","RS5",""
"M0115_2556","",""
"M0117_2550","RS6",""
"M0118_2556","",""
"M0121_2564","","FED"
"M0123_2553","","SPF"
"M0124_2559","","SPF"
"M0128_2564","",""
"M0129_2551","","SPF"
"M0131_2564","",""
"M0132_2551","","SPF"
"M0132_2556","","FED"
"M0135_2553","","SPF"
"M0138_2554","","SPF"
"M0138_2562","",""
"M0140_2557","",""
"M0144_2557","","SPF"
"M0144_2559","","RMF,SE"
"M0152_2557","","SPF"
"M0152_2561","","RMF"
"M0154_2557","","SPF"
"M0155_2547","","SSF"
"M0155_2563","","SSF"
"M0169_2561","","FED"
"M0174_2552","","FIF,SPF"
"M0175_2560","","LTF"
"M0176_2552","","FIF,SPF"
"M0176_2563","","SSF"
"M0177_2552","","FED,FF,FIF,SPF"
"M0178_2555","","SPF"
"M0178_2559","RS7","CIV,SE"
"M0180_2554","","SPF"
"M0180_2564","","FED"
"M0189_2553","","RMF"
"M0192_2548","","SPF,TF"
"M0193_2561","","RMF"
"M0195_2556","","SNF,SPF"
"M0195_2563","",""
"M0198_2556","",""
"M0200_2563","","FED,SSF"
"M0201_2555","","FIF,SPF"
"M0203_2556","",""
"M0204_2542","","SSF"
"M0204_2561","",""
"M0206_2556","","FIF,SPF"
"M0210_2561","",""
"M0213_2557","","SPF"
"M0214_2558","RS5",""
"M0218_2558","","SPF"
"M0224_2551","","FIF,SPF"
"M0224_2553","","SPF"
"M0226_2551","","SPF"
"M0227_2558","","SPF"
"M0236_2551","","SPF"
"M0239_2547","RS3",""
"M0243_2553","","FIF"
"M0245_2565","","FED"
"M0246_2550","","LTF"
"M0246_2556","","SPF"
"M0247_2557","","FIF,SPF"
"M0249_2550","","FIF"
"M0249_2563","","FED,SE"
"M0250_2550","","LTF,SSF"
"M0251_2557","","SPF"
"M0253_2556","","FIF,SPF"
"M0253_2559","","SPF"
"M0254_2556","","FIF,SPF"
"M0255_2552","","FIF,SPF"
"M0258_2563","","FED,SSF"
"M0259_2555","","FIF,SPF"
"M0261_2554","","SPF"
"M0264_2552","","FIF"
