"proj_id","risk_spectrum","spec_code"
"M0016_2565","","MM"
"M0024_2561","","FED"
"M0031_2561","","FED"
"M0050_2565","","FED,SE,SSF"
"M0052_2564","","FED,SSF"
"M0053_2564","","FED,SSF"
"M0059_2561","","FED"
"M0062_2560","","SSF"
"M0066_2559","","SPF"
"M0066_2562","","IND"
"M0079_2556","","SPF"
"M0098_2564","","FF"
"M0112_2565","","FED,SSF"
"M0116_2556","","SPF"
"M0121_2561","","FED,SE"
"M0135_2563","","SSF"
"M0137_2558","","SPF"
"M0145_2565","","FED,SSF"
"M0152_2559","","SPF"
"M0195_2561","","FED,SSF"
"M0204_2559","","SSF"
"M0215_2560","","FED"
"M0216_2564","","FED,SE,SSF"
"M0227_2564","","FED,SE"
"M0228_2563","","FF,SSF"
"M0256_2559","","SPF"
"M0268_2557","","SPF"
"M0274_2563","","FED,RMF"
"M0285_2563","","FED"
"M0288_2561","","FED"
"M0290_2559","","SPF"
"M0297_2558","","FIF"
"M0299_2562","RS4",""
"M0301_2563","","RMF"
"M0312_2564","","FF,SSF"
"M0315_2560","","FF"
"M0317_2558","","SPF"
"M0318_2557","","SPF"
"M0324_2559","","FED"
"M0330_2559","","SE,SPF"
"M0334_2563","","FED"
"M0344_2555","","SPF"
"M0353_2557","","SPF"
"M0377_2558","","SPF"
"M0380_2564","","FED,SSF"
"M0391_2559","","FED"
"M0407_2564","","FED"
"M0420_2557","","SPF"
"M0425_2560","","FF"
"M0433_2555","",""
"M0435_2559","","LTF"
"M0438_2561","","FED,RMF"
"M0447_2558","","SPF"
"M0460_2563","",""
"M0461_2556","","SPF"
"M0462_2563","","FED"
"M0468_2564","",""
"M0491_2560","",""
"M0500_2560","","FF,RMF"
"M0500_2562","","MM"
"M0502_2558","","SPF"
"M0503_2561","",""
"M0504_2559","","SSF"
"M0508_2562","",""
"M0517_2562","",""
"M0521_2563","",""
"M0524_2558","","FF,SE"
"M0545_2556","","FF,SE"
"M0556_2558","","SPF"
"M0557_2563","","FF,RMF"
"M0562_2565","","FED,MM,RMF"
"M0563_2562","","FED,SE"
"M0567_2559","","LTF"
"M0573_2554","","SPF"
"M0579_2560","","FF"
"M0582_2560","","LTF"
"M0585_2563","","FF"
"M0605_2558","","SPF"
"M0606_2557","","SPF"
"M0617_2558","","FED"
"M0623_2565","","FED"
"M0626_2558","","FF,RMF,SE"
"M0640_2558","","SPF"
"M0645_2555","RS3",""
"M0658_2560","","FED"
"M0704_2554","","SPF"
"M0706_2554","","SPF"
"M0709_2554","","CPF"
"M0714_2554","","CPF"
"M0726_2558","","SPF"
"M0727_2556","","SPF"
"M0736_2562","","FED"
"M0746_2554","","SPF"
"M0756_2556","","SPF"
"M0776_2556","","SPF"
"M0810_2566","","TESG"
"M0816_2554","","SPF"
"M0843_2554","","SPF"
"M0867_2556","","SPF"
"M0881_2554","","MM,SSF"
"M0885_2555","","RMF"
"M0890_2555","","RMF"
"M0967_2556","","SPF"
"M0988_2555","","SPF"
"M1182_2557","","SPF"
