"proj_id","risk_spectrum","spec_code"
"M0003_2553","","FF"
"M0007_2564","",""
"M0010_2550","","SPF"
"M0024_2551","","SPF"
"M0031_2551","","FIF,SPF"
"M0036_2553","","SPF"
"M0038_2543","","SPF"
"M0047_2551","","FIF,SPF"
"M0054_2556","","FIF,SPF"
"M0055_2553","","SPF"
"M0056_2561","",""
"M0064_2564","",""
"M0065_2562","","MM"
"M0067_2552","","SPF"
"M0068_2552","","SPF"
"M0068_2564","","FF"
"M0073_2562","","FF,SE"
"M0084_2557","","SPF"
"M0085_2566","","RMF"
"M0088_2553","","SPF"
"M0089_2562","RS4",""
"M0093_2563","",""
"M0099_2552","","SPF"
"M0100_2551","","SPF"
"M0101_2554","","SPF"
"M0104_2557","",""
"M0107_2554","","SPF"
"M0111_2564","",""
"M0118_2558","","FED"
"M0122_2564","",""
"M0124_2553","","SPF"
"M0125_2560","",""
"M0128_2555","","SPF"
"M0134_2554","RS5",""
"M0141_2551","","SPF"
"M0142_2542","",""
"M0146_2549","","FED"
"M0150_2553","","SPF"
"M0150_2564","","SSF"
"M0156_2552","","FIF,SPF"
"M0164_2561","",""
"M0172_2552","","SPF"
"M0175_2563","","SSF"
"M0177_2557","RS6","FED"
"M0179_2551","","SPF"
"M0183_2557","","FIF,SPF"
"M0184_2564","",""
"M0185_2554","","FIF,SPF"
"M0187_2552","","FED"
"M0188_2550","","CPF"
"M0196_2563","","FF,SSF"
"M0206_2552","","FED"
"M0207_2553","","SPF"
"M0208_2552","","FIF,SPF"
"M0215_2554","","SPF"
"M0223_2553","","SPF"
"M0223_2555","","SPF"
"M0227_2557","","FED"
"M0229_2551","","FIF,SPF"
"M0230_2551","","FIF,SPF"
"M0231_2563","",""
"M0232_2551","","FF,SPF"
"M0235_2565","","FED,SE"
"M0236_2563","",""
"M0245_2560","",""
"M0247_2551","","FIF,SPF"
"M0256_2552","RS4",""
"M0256_2555","","FIF,SPF"
"M0257_2552","","FED"
"M0257_2554","","SPF"
"M0271_2561","","RMF"
"M0274_2554","","SPF"
"M0274_2561","RS4",""
"M0276_2553","","SPF"
"M0286_2559","","FED"
"M0287_2551","","FIF,SPF"
"M0298_2561","","RMF"
"M0301_2552","RS4",""
"M0305_2562","","FED"
"M0308_2564","","FF"
"M0311_2556","","FIF"
"M0318_2554","RS4",""
"M0322_2551","","FIF,SPF"
"M0323_2551","","FIF,SPF"
"M0333_2551","","SPF"
"M0333_2560","",""
"M0337_2561","","FED"
"M0343_2566","","RMF"
"M0347_2560","",""
"M0358_2552","","FIF,SPF"
"M0360_2552","","SPF"
"M0364_2561","",""
"M0375_2554","RS4",""
"M0376_2550","","FIF,SPF"
"M0384_2552","","FIF,SPF"
"M0394_2563","",""
"M0400_2549","","LTF"
"M0402_2564","","FF,RMF"
"M0404_2550","","FIF,SPF"
"M0417_2560","",""
"M0424_2550","","FED"
"M0426_2550","","FIF,SPF"
"M0427_2555","","FIF,SPF"
"M0428_2550","","FED"
"M0432_2556","","FIF"
"M0439_2552","","SPF"
"M0441_2552","","FED"
"M0443_2553","","FIF"
"M0449_2563","","RMF"
"M0466_2556","","SPF"
"M0469_2555","","CPF,SPF"
"M0471_2566","","FED"
"M0474_2563","",""
"M0475_2550","","SPF"
"M0486_2552","","SPF"
"M0488_2561","",""
"M0496_2564","",""
"M0497_2564","","RMF"
"M0498_2564","","SSF"
"M0502_2555","","SPF"
"M0502_2556","",""
"M0511_2563","",""
"M0520_2562","",""
"M0521_2552","","SPF"
"M0525_2563","",""
"M0542_2560","","RMF"
"M0544_2550","","FIF,SPF"
"M0547_2558","","FIF"
"M0560_2551","","SPF"
"M0566_2554","","SPF"
"M0568_2560","","LTF"
"M0573_2552","","SPF"
"M0576_2552","","SPF"
"M0578_2563","","FED"
"M0581_2551","","SPF"
"M0592_2547","","LTF"
"M0601_2552","","SPF"
"M0602_2555","","FIF"
"M0603_2563","","FED"
"M0608_2551","","SPF"
"M0609_2551","","SPF"
"M0609_2553","","SPF"
"M0610_2551","RS4",""
"M0626_2552","","SPF"
"M0629_2560","",""
"M0636_2547","RS4",""
"M0640_2557","","FED"
"M0644_2547","",""
"M0651_2552","","SPF"
"M0651_2566","","FED"
"M0656_2559","",""
"M0675_2557","","SPF"
"M0685_2551","","SPF"
"M0686_2565","","FED"
"M0697_2553","","SPF"
"M0702_2553","","SPF"
"M0702_2556","","FIF,SPF"
"M0704_2562","",""
"M0711_2551","","SPF"
"M0715_2548","RS4",""
"M0718_2553","","SPF"
"M0735_2562","","FF"
"M0738_2554","RS4",""
"M0759_2548","","SPF"
"M0760_2548","RS5","FED"
"M0776_2547","","RMF"
"M0777_2553","","SPF"
"M0777_2555","","SPF"
"M0785_2547","","RMF"
"M0785_2553","","SPF"
"M0787_2547","","RMF"
"M0804_2566","","TESG"
"M0815_2557","","FED"
"M0816_2548","","CPF"
"M0817_2548","","SPF"
"M0829_2553","","SPF"
"M0848_2548","","CPF"
"M0852_2557","","SPF"
"M0911_2553","","SPF"
"M0934_2550","","FIF,SPF"
"M0938_2550","","FIF,SPF"
"M0942_2553","","SPF"
"M0955_2556","","FIF"
"M0971_2553","","SPF"
"M0976_2553","","SPF"
"M1002_2555","","FIF,SPF"
"M1202_2557","","FED,SE"
