"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2015-02-13","245419202.07","9.9957","0.0","0.0","0.0","0.0"
"2015-02-16","247619915.09","10.0853","0.0","0.0","0.0","0.0"
"2015-02-17","247646747.34","10.0864","0.0","0.0","0.0","0.0"
"2015-02-18","247598620.72","10.0844","0.0","0.0","0.0","0.0"
"2015-02-19","246676588.43","10.0469","0.0","0.0","0.0","0.0"
"2015-02-20","246647308.39","10.0457","0.0","0.0","0.0","0.0"
"2015-02-23","246289000.61","10.0311","0.0","0.0","0.0","0.0"
"2015-02-24","247955061.82","10.0989","0.0","0.0","0.0","0.0"
"2015-02-25","243264013.03","9.9079","9.961","9.9079","9.961","9.9079"
"2015-02-26","337572913.21","10.1349","10.1973","10.1268","10.1973","10.1268"
"2015-02-27","362530440.91","10.1236","10.186","10.1155","10.186","10.1155"
"2015-03-02","390614384.34","10.18","10.2427","10.1719","10.2427","10.1719"
"2015-03-03","399631790.44","9.9599","10.0213","9.9519","10.0213","9.9519"
"2015-03-05","445629977.51","9.9107","9.9718","9.9028","9.9718","9.9028"
"2015-03-06","479986484.01","9.8408","9.9014","9.8329","9.9014","9.8329"
"2015-03-09","512092806.56","9.9929","10.0545","9.9849","10.0545","9.9849"
"2015-03-10","522784819.25","9.895","9.956","9.8871","9.956","9.8871"
"2015-03-11","538339992.73","9.9434","10.0047","9.9354","10.0047","9.9354"
"2015-03-12","552362437.22","10.1593","10.2219","10.1512","10.2219","10.1512"
"2015-03-13","560210271.61","10.2318","10.2948","10.2236","10.2948","10.2236"
"2015-03-16","590214261.32","10.6339","10.6994","10.6254","10.6994","10.6254"
"2015-03-17","595183093.15","10.6793","10.7451","10.6708","10.7451","10.6708"
"2015-03-18","576161545.52","10.9126","10.9798","10.9039","10.9798","10.9039"
