"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2021-07-13","482163085.84","9.9998","0.0","0.0","0.0","0.0"
"2021-07-14","484113298.27","10.0402","0.0","0.0","0.0","0.0"
"2021-07-15","481590836.12","9.9879","0.0","0.0","0.0","0.0"
"2021-07-16","475840967.35","9.8687","0.0","0.0","0.0","0.0"
"2021-07-19","468530094.07","9.717","0.0","0.0","0.0","0.0"
"2021-07-20","467789230.4","9.7017","9.8473","9.7017","9.7017","9.8473"
"2021-07-21","516061597.92","9.8452","9.993","9.8452","9.8452","9.993"
"2021-07-22","578929142.59","9.9568","10.1063","9.9568","9.9568","10.1063"
"2021-07-23","606780480.18","10.0888","10.2402","10.0888","10.0888","10.2402"
"2021-07-27","637311555.74","10.1182","10.2701","10.1182","10.1182","10.2701"
"2021-07-29","712800751.56","10.1105","10.2623","10.1105","10.1105","10.2623"
"2021-07-30","736582162.86","10.1286","10.2806","10.1286","10.1286","10.2806"
"2021-08-02","758190132.24","10.1095","10.2612","10.1095","10.1095","10.2612"
"2021-08-03","795560321.91","10.1391","10.2913","10.1391","10.1391","10.2913"
"2021-08-04","848288253.23","10.2187","10.3721","10.2187","10.2187","10.3721"
"2021-08-05","893135720.98","10.2027","10.3558","10.2027","10.2027","10.3558"
"2021-08-06","957430461.13","10.179","10.3318","10.179","10.179","10.3318"
"2021-08-09","1024903476.62","10.1647","10.3173","10.1647","10.1647","10.3173"
"2021-08-10","1094902646.65","10.3237","10.4787","10.3237","10.3237","10.4787"
"2021-08-11","1148016553.4","10.1912","10.3442","10.1912","10.1912","10.3442"
"2021-08-13","1224962749.6","10.274","10.4282","10.274","10.274","10.4282"
"2021-08-16","1260061798.17","10.2545","10.4084","10.2545","10.2545","10.4084"
"2021-08-17","1258815284.87","10.2946","10.4491","10.2946","10.2946","10.4491"
"2021-08-18","1272259604.46","10.3837","10.5396","10.3837","10.3837","10.5396"
"2021-08-19","1262331695.64","10.1915","10.3445","10.1915","10.1915","10.3445"
"2021-08-20","1263152391.97","10.2675","10.4216","10.2675","10.2675","10.4216"
"2021-08-23","1292337085.34","10.412","10.5683","10.412","10.412","10.5683"
"2021-08-24","1307808693.74","10.4355","10.5921","10.4355","10.4355","10.5921"
"2021-08-25","1316305178.45","10.4757","10.6329","10.4757","10.4757","10.6329"
"2021-08-26","1297420360.57","10.4037","10.5599","10.4037","10.4037","10.5599"
"2021-08-27","1277680671.81","10.3714","10.5271","10.3714","10.3714","10.5271"
"2021-08-30","1299183056.02","10.4286","10.5851","10.4286","10.4286","10.5851"
"2021-08-31","1354856473.03","10.3983","10.5544","10.3983","10.3983","10.5544"
"2021-09-01","1408187242.85","10.525","10.683","10.525","10.525","10.683"
"2021-09-02","1466012015.06","10.6613","10.8213","10.6613","10.6613","10.8213"
"2021-09-03","1462646621.93","10.5608","10.7193","10.5608","10.5608","10.7193"
"2021-09-06","1437989190.0","10.6715","10.8317","10.6715","10.6715","10.8317"
"2021-09-07","1467002441.11","10.6676","10.8277","10.6676","10.6676","10.8277"
"2021-09-08","1454794164.38","10.5909","10.7499","10.5909","10.5909","10.7499"
"2021-09-09","1485391686.66","10.5965","10.7555","10.5965","10.5965","10.7555"
"2021-09-10","1573173981.5","10.6701","10.8303","10.6701","10.6701","10.8303"
"2021-09-13","1607011481.39","10.4877","10.6451","10.4877","10.4877","10.6451"
"2021-09-14","1624216258.81","10.4917","10.6492","10.4917","10.4917","10.6492"
"2021-09-15","1675809915.86","10.4374","10.5941","10.4374","10.4374","10.5941"
"2021-09-16","1793860100.89","10.5591","10.7176","10.5591","10.5591","10.7176"
"2021-09-17","1858183047.36","10.6308","10.7904","10.6308","10.6308","10.7904"
"2021-09-20","1833457983.75","10.3316","10.4867","10.3316","10.3316","10.4867"
"2021-09-21","1872752285.23","10.4966","10.6542","10.4966","10.4966","10.6542"
"2021-09-22","1885142767.01","10.5049","10.6626","10.5049","10.5049","10.6626"
"2021-09-23","1947663467.31","10.6879","10.8483","10.6879","10.6879","10.8483"
"2021-09-27","1949263281.75","10.2436","10.3974","10.2436","10.2436","10.3974"
"2021-09-28","1976690667.25","9.9225","10.0714","9.9225","9.9225","10.0714"
"2021-09-29","2056898184.77","9.9565","10.1059","9.9565","9.9565","10.1059"
"2021-09-30","2120424740.6","9.9293","10.0783","9.9293","9.9293","10.0783"
"2021-10-05","2219732221.97","9.9144","10.0632","9.9144","9.9144","10.0632"
"2021-10-06","2209239538.46","9.8478","9.9956","9.8478","9.8478","9.9956"
"2021-10-08","2255833492.67","9.9654","10.115","9.9654","9.9654","10.115"
"2021-10-11","2243759495.64","9.8039","9.9511","9.8039","9.8039","9.9511"
"2021-10-12","2263792213.47","9.8519","9.9998","9.8519","9.8519","9.9998"
"2021-10-14","2352356021.13","10.2038","10.357","10.2038","10.2038","10.357"
"2021-10-15","2377964792.49","10.2569","10.4109","10.2569","10.2569","10.4109"
"2021-10-18","2401503321.94","10.3044","10.4591","10.3044","10.3044","10.4591"
