"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2022-06-10","0.0","6.8703","6.8704","6.8703","6.8703","6.8704"
"2022-06-13","0.0","6.4815","6.4816","6.4815","6.4815","6.4816"
"2022-06-14","50.08","6.492","6.4921","6.492","6.492","6.4921"
"2022-06-15","51.79","6.7136","6.7137","6.7136","6.7136","6.7137"
"2022-06-17","147.78","6.5363","6.5364","6.5363","6.5363","6.5364"
"2022-06-20","157.82","6.538","0.0","0.0","0.0","0.0"
"2022-06-21","161.67","6.6975","6.6976","6.6975","6.6975","6.6976"
"2022-06-22","161.44","6.6879","6.688","6.6879","6.6879","6.688"
"2022-06-23","799.94","6.8028","6.8029","6.8028","6.8028","6.8029"
"2022-06-24","820.84","6.9805","6.9806","6.9805","6.9805","6.9806"
"2022-06-27","809.49","6.884","6.8841","6.884","6.884","6.8841"
"2022-06-28","800.95","6.6956","6.6957","6.6956","6.6956","6.6957"
"2022-06-29","900.51","6.5899","6.59","6.5899","6.5899","6.59"
"2022-06-30","991.75","6.5322","6.5323","6.5322","6.5322","6.5323"
"2022-07-01","1010.86","6.5654","6.5655","6.5654","6.5654","6.5655"
"2022-07-04","1025.14","6.5672","0.0","0.0","0.0","0.0"
"2022-07-05","1040.85","6.6678","6.6679","6.6678","6.6678","6.6679"
"2022-07-06","1052.71","6.5672","6.5673","6.5672","6.5672","6.5673"
"2022-07-07","1320.07","6.8438","6.8439","6.8438","6.8438","6.8439"
"2022-07-08","1338.97","6.869","6.8691","6.869","6.869","6.8691"
"2022-07-11","1300.44","6.6023","6.6024","6.6023","6.6023","6.6024"
"2022-07-12","1303.05","6.5451","6.5452","6.5451","6.5451","6.5452"
"2022-07-14","1355.97","6.492","6.4921","6.492","6.492","6.4921"
"2022-07-15","2537.27","6.6689","6.669","6.6689","6.6689","6.669"
"2022-07-18","2533.62","6.6593","6.6594","6.6593","6.6593","6.6594"
"2022-07-19","2628.33","6.8811","6.8812","6.8811","6.8811","6.8812"
"2022-07-20","3336.43","7.0569","7.057","7.0569","7.0569","7.057"
"2022-07-21","3522.03","7.2327","7.2328","7.2327","7.2327","7.2328"
"2022-07-22","3418.45","7.02","7.0201","7.02","7.02","7.0201"
"2022-07-25","3400.6","6.9833","6.9834","6.9833","6.9833","6.9834"
"2022-07-26","3490.01","6.8641","6.8642","6.8641","6.8641","6.8642"
"2022-07-27","3632.37","7.1441","7.1442","7.1441","7.1441","7.1442"
"2022-08-01","3870.22","7.408","7.4081","7.408","7.408","7.4081"
"2022-08-02","5940.07","7.4329","7.433","7.4329","7.4329","7.433"
"2022-08-03","6072.34","7.5984","7.5985","7.5984","7.5984","7.5985"
"2022-08-04","57310.81","7.6168","7.6169","7.6168","7.6168","7.6169"
"2022-08-05","56390.66","7.4946","7.4947","7.4946","7.4946","7.4947"
"2022-08-08","57012.37","7.5504","7.5505","7.5504","7.5504","7.5505"
"2022-08-09","55534.23","7.3482","7.3483","7.3482","7.3482","7.3483"
"2022-08-10","58194.93","7.7003","7.7004","7.7003","7.7003","7.7004"
"2022-08-11","57016.98","7.6647","7.6648","7.6647","7.6647","7.6648"
"2022-08-15","58352.75","7.8443","7.8444","7.8443","7.8443","7.8444"
"2022-08-16","68093.89","7.8146","7.8147","7.8146","7.8146","7.8147"
"2022-08-17","66263.2","7.5933","7.5934","7.5933","7.5933","7.5934"
"2022-08-18","66514.43","7.5992","7.5993","7.5992","7.5992","7.5993"
"2022-08-19","64295.64","7.3457","7.3458","7.3457","7.3457","7.3458"
"2022-08-22","62980.93","7.1262","7.1263","7.1262","7.1262","7.1263"
"2022-08-23","65282.88","7.1047","7.1048","7.1047","7.1047","7.1048"
"2022-08-24","71216.88","7.1991","7.1992","7.1991","7.1991","7.1992"
"2022-08-25","73493.84","7.3162","7.3163","7.3162","7.3162","7.3163"
"2022-08-26","71977.59","7.0211","7.0212","7.0211","7.0211","7.0212"
"2022-08-29","71301.48","6.9551","6.9552","6.9551","6.9551","6.9552"
"2022-08-30","72309.66","6.8498","6.8499","6.8498","6.8498","6.8499"
