"nav_date","net_asset","last_val","sell_price","buy_price","sell_swap_price","buy_swap_price"
"2021-08-20","5516762.81","10.0237","0.0","0.0","0.0","0.0"
"2021-08-23","5629591.69","10.2287","0.0","0.0","0.0","0.0"
"2021-08-24","5682142.05","10.3242","0.0","0.0","0.0","0.0"
"2021-08-25","5670374.66","10.3028","0.0","0.0","0.0","0.0"
"2021-08-26","5587672.35","10.1525","0.0","0.0","0.0","0.0"
"2021-08-27","5697307.59","10.3517","10.4553","10.3517","10.3517","10.4553"
"2021-08-30","5976705.58","10.4003","10.5044","10.4003","10.4003","10.5044"
"2021-08-31","5795410.21","10.3685","10.4723","10.3685","10.3685","10.4723"
"2021-09-01","6026366.49","10.4694","10.5742","10.4694","10.4694","10.5742"
"2021-09-02","9079269.51","10.4311","10.5355","10.4311","10.4311","10.5355"
"2021-09-03","9739428.63","10.504","10.6091","10.504","10.504","10.6091"
"2021-09-06","10288443.46","10.4874","0.0","0.0","0.0","0.0"
"2021-09-07","10260788.86","10.4592","10.5639","10.4592","10.4592","10.5639"
"2021-09-08","10324126.65","10.2794","10.3823","10.2794","10.2794","10.3823"
"2021-09-09","10375043.11","10.2623","10.365","10.2623","10.2623","10.365"
"2021-09-10","15987837.54","10.1525","10.2541","10.1525","10.1525","10.2541"
"2021-09-13","15927389.28","10.0807","10.1816","10.0807","10.0807","10.1816"
"2021-09-14","15959962.78","10.0318","10.1322","10.0318","10.0318","10.1322"
"2021-09-15","16091132.96","10.086","10.187","10.086","10.086","10.187"
"2021-09-16","16286513.68","10.2047","10.3068","10.2047","10.2047","10.3068"
"2021-09-17","16309862.13","10.2107","10.3129","10.2107","10.2107","10.3129"
"2021-09-20","15855676.81","9.9252","10.0246","9.9252","9.9252","10.0246"
"2021-09-21","16011925.1","9.9639","10.0636","9.9639","9.9639","10.0636"
"2021-09-22","16286994.58","10.1204","10.2217","10.1204","10.1204","10.2217"
"2021-09-23","16614486.12","10.2609","10.3636","10.2609","10.2609","10.3636"
"2021-09-27","16479966.49","10.1385","10.24","10.1385","10.1385","10.24"
"2021-09-28","16414804.35","9.7754","9.8733","9.7754","9.7754","9.8733"
"2021-09-29","13452543.67","9.6362","9.7327","9.6362","9.6362","9.7327"
"2021-09-30","14627770.76","9.665","9.7618","9.665","9.665","9.7618"
"2021-10-05","14826866.14","9.633","9.7294","9.633","9.633","9.7294"
"2021-10-06","14970480.11","9.7501","9.8477","9.7501","9.7501","9.8477"
"2021-10-08","16142740.8","9.8328","9.9312","9.8328","9.8328","9.9312"
"2021-10-11","15909939.83","9.6594","0.0","0.0","0.0","0.0"
"2021-10-12","15994052.48","9.7105","9.8077","9.7105","9.7105","9.8077"
"2021-10-14","16620571.02","10.0453","10.1459","10.0453","10.0453","10.1459"
"2021-10-15","16856474.89","10.1867","10.2887","10.1867","10.1867","10.2887"
"2021-10-18","16959721.19","10.2428","10.3453","10.2428","10.2428","10.3453"
"2021-10-19","17168294.39","10.3273","10.4307","10.3273","10.3273","10.4307"
"2021-10-20","16234679.06","10.3683","10.4721","10.3683","10.3683","10.4721"
"2021-10-21","15842882.86","10.3418","10.4453","10.3418","10.3418","10.4453"
"2021-10-25","17770105.51","10.3125","10.4157","10.3125","10.3125","10.4157"
"2021-10-26","17549306.84","10.2302","10.3326","10.2302","10.2302","10.3326"
"2021-10-27","16989606.99","9.897","9.9961","9.897","9.897","9.9961"
"2021-10-28","17079533.11","10.0041","10.1042","10.0041","10.0041","10.1042"
"2021-10-29","17203837.09","9.9548","10.0544","9.9548","9.9548","10.0544"
"2021-11-01","18409531.09","10.0889","10.1899","10.0889","10.0889","10.1899"
"2021-11-02","18114443.18","9.9044","10.0035","9.9044","9.9044","10.0035"
"2021-11-03","18203241.79","9.93","10.0294","9.93","9.93","10.0294"
"2021-11-05","18669324.31","9.9317","10.0311","9.9317","9.9317","10.0311"
"2021-11-08","19580426.45","9.9903","10.0903","9.9903","9.9903","10.0903"
"2021-11-09","19631733.71","9.8282","9.9266","9.8282","9.8282","9.9266"
"2021-11-10","19207165.43","9.5732","9.669","9.5732","9.5732","9.669"
"2021-11-11","19396237.83","9.6599","0.0","0.0","0.0","0.0"
"2021-11-12","19724444.26","9.8234","9.9217","9.8234","9.8234","9.9217"
"2021-11-15","22203070.12","9.8397","9.9382","9.8397","9.8397","9.9382"
"2021-11-16","22606484.67","9.861","9.9597","9.861","9.861","9.9597"
"2021-11-17","22802091.44","9.6004","9.6965","9.6004","9.6004","9.6965"
"2021-11-18","24452283.99","9.4165","9.5108","9.4165","9.4165","9.5108"
"2021-11-19","26162535.16","9.3403","9.4338","9.3403","9.3403","9.4338"
"2021-11-22","25397342.12","8.9245","9.0138","8.9245","8.9245","9.0138"
"2021-11-23","25518213.66","8.9145","9.0037","8.9145","8.9145","9.0037"
"2021-11-24","26739573.66","9.0488","9.1394","9.0488","9.0488","9.1394"
"2021-11-25","28085864.91","9.0498","0.0","0.0","0.0","0.0"
"2021-11-26","27687524.8","8.9214","9.0107","8.9214","8.9214","9.0107"
"2021-11-29","28235242.67","8.9221","9.0114","8.9221","8.9221","9.0114"
"2021-11-30","27672406.78","8.7171","8.8044","8.7171","8.7171","8.8044"
"2021-12-01","26834426.21","8.3282","8.4116","8.3282","8.3282","8.4116"
"2021-12-02","30195075.02","8.4197","8.504","8.4197","8.4197","8.504"
"2021-12-03","29218053.01","8.1086","8.1898","8.1086","8.1086","8.1898"
"2021-12-07","31004401.09","8.5319","8.6173","8.5319","8.5319","8.6173"
"2021-12-08","31830569.73","8.6775","8.7644","8.6775","8.6775","8.7644"
"2021-12-09","30952608.62","8.4264","8.5108","8.4264","8.4264","8.5108"
"2021-12-13","29888016.55","8.1354","8.2169","8.1354","8.1354","8.2169"
"2021-12-14","29439026.15","8.0097","8.0899","8.0097","8.0097","8.0899"
"2021-12-15","29867881.63","8.1164","8.1977","8.1164","8.1164","8.1977"
"2021-12-16","30097479.01","7.9113","7.9905","7.9113","7.9113","7.9905"
"2021-12-17","30779800.13","7.9534","8.033","7.9534","7.9534","8.033"
"2021-12-20","30066833.43","7.7378","7.8153","7.7378","7.7378","7.8153"
"2021-12-21","32142585.08","8.0841","8.165","8.0841","8.0841","8.165"
"2021-12-22","32844071.19","8.1212","8.2025","8.1212","8.1212","8.2025"
"2021-12-23","33240263.52","8.2065","8.2887","8.2065","8.2065","8.2887"
"2021-12-24","33320909.63","8.2025","0.0","0.0","0.0","0.0"
"2021-12-27","33380736.63","8.2172","8.2995","8.2172","8.2172","8.2995"
"2021-12-28","32890775.04","8.0787","8.1596","8.0787","8.0787","8.1596"
"2021-12-29","32608728.01","8.0029","8.083","8.0029","8.0029","8.083"
"2021-12-30","33784627.41","8.1661","8.2479","8.1661","8.1661","8.2479"
"2022-01-04","33034594.13","7.9251","8.0045","7.9251","7.9251","8.0045"
"2022-01-05","31414285.02","7.5225","7.5978","7.5225","7.5225","7.5978"
"2022-01-06","31706739.09","7.5454","7.621","7.5454","7.5454","7.621"
"2022-01-07","31503095.56","7.5034","7.5785","7.5034","7.5034","7.5785"
"2022-01-10","31074368.87","7.405","7.4792","7.405","7.405","7.4792"
"2022-01-11","32322561.8","7.646","7.7226","7.646","7.646","7.7226"
"2022-01-12","32574683.45","7.6113","7.6875","7.6113","7.6113","7.6875"
"2022-01-13","31472925.41","7.3019","7.375","7.3019","7.3019","7.375"
"2022-01-14","31142057.55","7.2238","7.2961","7.2238","7.2238","7.2961"
"2022-01-17","31086563.72","7.2207","0.0","0.0","0.0","0.0"
"2022-01-18","29916232.72","6.9489","7.0185","6.9489","6.9489","7.0185"
"2022-01-19","30675298.05","6.8992","6.9683","6.8992","6.8992","6.9683"
"2022-01-20","30228973.4","6.8885","6.9575","6.8885","6.8885","6.9575"
"2022-01-21","28778801.1","6.5448","6.6103","6.5448","6.5448","6.6103"
"2022-01-24","29879314.94","6.5663","6.6321","6.5663","6.5663","6.6321"
"2022-01-25","29396800.27","6.4342","6.4986","6.4342","6.4342","6.4986"
"2022-01-26","30815881.29","6.3369","6.4004","6.3369","6.3369","6.4004"
"2022-01-27","30045288.65","6.1738","6.2356","6.1738","6.1738","6.2356"
"2022-01-28","31341858.37","6.4389","6.5034","6.4389","6.4389","6.5034"
"2022-01-31","33425000.7","6.8598","6.9285","6.8598","6.8598","6.9285"
"2022-02-01","32876332.94","7.0432","7.1137","7.0432","7.0432","7.1137"
"2022-02-02","31212518.32","6.6736","6.7404","6.6736","6.6736","6.7404"
"2022-02-03","29619858.41","6.3309","6.3943","6.3309","6.3309","6.3943"
"2022-02-04","30808999.34","6.5837","6.6496","6.5837","6.5837","6.6496"
"2022-02-07","31057603.87","6.5714","6.6372","6.5714","6.5714","6.6372"
"2022-02-08","31467186.4","6.6202","6.6865","6.6202","6.6202","6.6865"
"2022-02-09","32988201.07","6.9512","7.0208","6.9512","6.9512","7.0208"
"2022-02-10","32337552.75","6.7861","6.8541","6.7861","6.7861","6.8541"
"2022-02-11","31994393.77","6.6467","6.7133","6.6467","6.6467","6.7133"
"2022-02-14","32074128.99","6.6206","6.6869","6.6206","6.6206","6.6869"
"2022-02-15","33292364.19","6.8697","6.9385","6.8697","6.8697","6.9385"
"2022-02-17","30889531.11","6.3722","6.436","6.3722","6.3722","6.436"
"2022-02-18","29932392.09","6.1786","6.2405","6.1786","6.1786","6.2405"
"2022-02-21","30048905.16","6.1779","0.0","0.0","0.0","0.0"
"2022-02-22","29341766.74","6.0325","6.0929","6.0325","6.0325","6.0929"
"2022-02-23","28493836.31","5.8481","5.9067","5.8481","5.8481","5.9067"
"2022-02-24","29481311.08","6.0474","6.108","6.0474","6.0474","6.108"
